"","ああ","like that, so"
"案内","あんない, あない","guidance, leading (the way), showing around; information, notice, notification; announcement (of a visitor's arrival), informing (someone) of a visitor's arrival; invitation; acquaintance, knowledge"
"以下","いか, いげ","not exceeding ..., not more than ..., ... and under, ... and below, ... or fewer; below (a standard, level, etc.), under, beneath, less than; the following, the below-mentioned, the rest, followed by ...; including ..., ... and other (employees, officials, etc.)"
"以外","いがい","excluding, except (for), apart from, other than, besides, in addition to; outside (a boundary, scope, etc.)"
"医学","いがく","medical science, medicine"
"生きる","いきる","to live, to exist; to make a living, to subsist; to be in effect, to be in use, to function; to come to life, to be enlivened; to be safe (in baseball, go, etc.)"
"意見","いけん","opinion, view, comment; scolding, reprimand, rebuke, admonition, cautioning, warning"
"石","いし","stone, rock, pebble; jewel, precious stone; flint (in a lighter); stone; stone (in the bladder, kidney etc.), calculus"
"苛める","いじめる, イジメる","to ill-treat, to bully, to torment, to pick on, to tease, to be cruel to, to persecute; to be tough on (e.g. one's body), to treat harshly"
"以上","いじょう","not less than ..., ... and over, ... and above, ... and upwards, ... or more; beyond (e.g. one's expectations), above, more than, further than; the above, the above-mentioned, the aforementioned, the foregoing; since ..., seeing that ..., now that ..., once ...; that's all, that is the end, the end"
"急ぐ","いそぐ","to hurry, to rush, to hasten, to make something happen sooner"
"致す","いたす","to do"
"頂く","いただく","to receive, to get, to accept, to take, to buy; to eat, to drink; to be crowned with, to wear (on one's head), to have (on top); to have (as one's leader), to live under (a ruler), to install (a president); to get someone to do something"
"一度","いちど, ひとたび","once, one time, on one occasion; temporarily, for a moment; one degree, one tone, one musical interval"
"一生懸命","いっしょうけんめい","very hard, with utmost effort, as hard as one can, with all one's might, for dear life, eagerly, desperately"
"一杯","いっぱい","one cup (of), one glass (of), one bowl (of), cupful, glassful, bowlful, spoonful; one drink (of alcohol); full, filled (with), brimming (with), crowded, packed; fully, to capacity, to the maximum, as much as possible; a lot, much, many; all of ..., the entire ...; one (squid, octopus, crab, etc.); one (boat)"
"糸","いと","thread, yarn, string"
"以内","いない","within, inside of, less than"
"田舎","いなか","rural area, countryside, the sticks; hometown"
"祈る","いのる","to pray, to say a prayer, to say grace; to wish, to hope"
"居らっしゃる","いらっしゃる","to come, to go, to be (somewhere); to be (doing)"
"植える","うえる","to plant, to grow, to raise; to insert, to transplant, to implant, to set (type); to inoculate (e.g. an infectious agent); to instill (idea, value, etc.), to inculcate"
"伺う","うかがう","to call on someone, to call at a place, to pay a visit, to wait on someone; to ask, to inquire; to hear, to be told; to implore (a god for an oracle), to seek direction (from your superior); to speak to (a large crowd at a theatre, etc.)"
"受付","うけつけ","reception (desk), information desk, receptionist, information clerk; receipt, acceptance"
"受ける","うける, ウケる","to receive, to get; to catch (e.g. a ball); to be struck by (wind, waves, sunlight, etc.); to sustain (damage), to incur (a loss), to suffer (an injury), to feel (influence); to undergo (e.g. surgery), to take (a test), to accept (a challenge); to be given (e.g. life, talent); to find funny, to find humorous, to be amused (by); to follow, to succeed, to be descended from; to face (south, etc.); to be modified by; to obtain (a pawned item, etc.) by paying a fee; to be well-received, to become popular, to go down well"
"動く","うごく","to move, to stir, to shift, to shake, to swing; to operate, to run, to go, to work; to make a move, to take action, to act, to go into action; to be touched, to be influenced; to change, to vary, to fluctuate, to waver; to be transferred"
"嘘","うそ, ウソ","lie, fib, falsehood, untruth; mistake, error; unwise move, bad decision; no way!, unbelievable!, really?!"
"内","うち","inside, within; while (e.g. one is young), during, within (e.g. a day), in the course of; among, amongst, (out) of, between; in (secret, chaos, poverty, etc.), amidst, with (e.g. success); within oneself, one's feelings, inner thoughts; we, our company, our organization; one's home, one's family; my spouse, my husband, my wife; signed on behalf of (husband's name) by his wife; I, me; imperial palace grounds; emperor"
"打つ","うつ","to hit, to strike, to knock, to beat, to punch, to slap, to tap, to bang, to clap, to pound; to strike (noon, etc.), to sound (cymbals, etc.), to beat (a drum, etc.); to beat (rhythmically, e.g. pulse, waves, etc.); to move, to impress, to touch; to drive in, to hammer in, to put in, to inject, to vaccinate; to type, to send, to transmit; to insert, to write in, to mark; to make (noodles, etc.), to prepare; to till (soil); to sprinkle, to throw, to cast; to do, to carry out, to play, to perform, to engage in (gambling, etc.); to pay (a deposit, etc.); to visit (on a pilgrimage); to line (a coat); to bind (a criminal); to drop (a piece)"
"美しい","うつくしい","beautiful, pretty, lovely, sweet, pure (heart, friendship, etc.)"
"写す","うつす","to copy, to duplicate, to reproduce, to trace, to transcribe; to describe, to depict, to portray, to express; to imitate, to model after; to take (a photo), to photograph, to film, to shoot"
"移る","うつる","to move (house), to transfer (department); to change the target of interest or concern; to elapse (passage of time); to be permeated by a colour or scent; to be infected, to be contagious, to spread (as in fire)"
"腕","うで","arm; ability, skill, talent, competence; (physical) strength"
"上手い","うまい","skillful, skilful, skilled, good, expert, clever (expression, trick, etc.), apt, appropriate; delicious, tasty, good, nice; good (deal, idea, etc.), profitable, promising, lucky, fortunate, successful, satisfactory, splendid"
"裏","うら","opposite side, bottom, other side, side hidden from view, undersurface, reverse side; rear, back, behind; lining, inside; in the shadows, behind the scenes, offstage, behind (someone's) back; more (to something than meets the eye), hidden side (e.g. of one's personality), unknown circumstances, different side; proof; opposite (of a prediction, common sense, etc.), contrary; inverse (of a hypothesis, etc.); bottom (of an inning), last half (of an inning)"
"売り場","うりば","selling area, counter, section, department, sales floor; favorable time to sell, good time to sell"
"嬉しい","うれしい","happy, glad, pleased, delighted, overjoyed; joyful, delightful, gratifying, pleasant"
"","うん, うむ, ううむ","yes, yeah, uh huh; hum, hmmm, well, erm, huh?; oof"
"運転","うんてん","operation (of a machine), running, working; driving (a vehicle); use (of capital, funds, etc.), management, investment"
"運転手","うんてんしゅ","driver, chauffeur"
"運動","うんどう","exercise, physical training, workout, sports, athletics; appeal, campaign, drive, crusade, movement, lobbying; motion, movement"
"","エスカレーター, エスカレータ","escalator"
"枝","えだ","branch, bough, limb, twig, sprig, spray"
"選ぶ","えらぶ","to choose, to select, to pick (out)"
"遠慮","えんりょ","reserve, constraint, restraint, modesty, diffidence, hesitation, holding back, discretion, tact, thoughtfulness; declining, refraining; forethought, foresight"
"お出でになる","おいでになる","to be; to come; to go"
"お祝い","おいわい","congratulation, congratulations, celebration, festival; congratulatory gift, present"
"お陰で","おかげで","thanks to ..., owing to ..., because of ..."
"可笑しい","おかしい, オカシイ","funny, amusing, comical, laughable, ridiculous; strange, odd, funny, peculiar, weird, wrong, unusual, eccentric; wrong, unsuitable, improper, inappropriate, unbecoming; suspicious"
"億","おく","hundred million, 100,000,000, 10^8"
"屋上","おくじょう","rooftop"
"贈り物","おくりもの","present, gift"
"送る","おくる","to send, to dispatch, to forward, to transmit, to ship, to remit; to see (someone) off, to escort, to accompany, to take; to bid farewell to (the departed), to say goodbye to, to bury; to spend (time), to pass, to lead (a life), to live; to pass (on, along), to advance (a runner); to affix (okurigana)"
"遅れる","おくれる","to be late, to be delayed, to fall behind schedule, to be overdue; to fall behind (in a race, one's studies, etc.), to lag behind, to be behind (the times); to be bereaved of, to be preceded by (someone) in death; to be slow (of a clock or watch)"
"起こす","おこす","to raise, to raise up, to set up, to pick up; to wake, to wake up, to waken, to awaken; to cause, to bring about, to lead to, to trigger, to give rise to, to create, to generate (e.g. heat, electricity), to produce; to start, to begin, to launch, to establish, to found, to set up, to open; to plough, to plow, to till; to fall ill with; to transcribe, to write down (what is spoken); to turn over (a card)"
"行う","おこなう","to perform, to do, to conduct oneself, to carry out"
"怒る","おこる","to get angry, to get mad, to lose one's temper; to scold, to tell (someone) off"
"押入れ","おしいれ","closet (built into the wall, usu. with sliding doors), (built-in) wardrobe"
"お嬢さん","おじょうさん","(another's) daughter; young lady"
"お宅","おたく","your house, your home, your family; your husband; your organization; you"
"落ちる","おちる","to fall, to drop, to come down, to crash, to collapse, to cave in, to give way; to set (of the sun or moon), to sink, to dip, to go down; to decrease (of popularity, quality, speed, sales, etc.), to fall, to drop, to go down, to decline, to deteriorate, to abate (of wind); to be inferior (to), to be not as good (as), to fall short (of); to come off (of dirt, paint, makeup, etc.), to come out (of a stain), to fade (of colour), to be removed (of an illness, possessing spirit, etc.); to disappear (of excess fat), to become thinner, to become leaner; to be left out, to be omitted, to be missing; to fail (an exam), to lose (a contest, election, etc.), to be unsuccessful; to decline (of morals, character, etc.), to become vulgar (e.g. of a conversation), to stoop (to), to sink (so low); to be ruined, to go under, to fall (into hell); to fall (in love, asleep, etc.); to fall (into someone's hands), to be accepted (of a bid), to be won (of a tender), to be honoured (of a bill); to fall into (a trap), to fall for (a trick); to give in; to confess, to own up; to come to (a conclusion, topic, etc.), to arrive at (in the end); to leave (a city, castle, etc.), to (be defeated and) flee; to sink in, to be accepted (in one's heart); to fall (to the enemy), to be defeated; to come in (of money); to fall (upon; of light, a shadow, one's gaze, etc.); to pass out (in judo), to fall unconscious; to go down (of a website, server, etc.), to crash; to log out (of an online game, chat room, etc.), to drop out, to leave, to go offline; to move to deeper water (of a fish in cold weather); to die (of an animal)"
"仰る","おっしゃる","to say, to speak, to tell; to be called"
"夫","おっと","husband"
"お釣り","おつり","change (for a purchase); toilet splashback"
"音","おと","sound, noise; (musical) note; fame"
"落とす","おとす","to drop, to lose, to let fall, to shed (light), to cast (one's gaze), to pour in (liquid), to leave behind; to clean off (dirt, makeup, paint, etc.), to remove (e.g. stains or facial hair), to lose, to spend money at a certain place, to omit, to leave out, to secretly let escape; to lose (a match), to reject (an applicant), to fail (a course), to defeat (in an election); to lower (e.g. shoulders or voice), to lessen (e.g. production or body weight), to worsen (quality), to reduce (e.g. rank or popularity), to speak badly of, to make light of, to fall into straitened circumstances; to fall into (e.g. a dilemma or sin), to make one's own, to have one's bid accepted, to force surrender, to take (e.g. an enemy camp or castle), to forcefully convince, to press for a confession, to deal with; to download, to copy from a computer to another medium; to make someone swoon (judo); to finish a story (e.g. with the punch line); to finish (a period, e.g. of fasting); to win over, to seduce, to conquer (unwillingness)"
"踊り","おどり","dance"
"踊る","おどる","to dance (orig. a hopping dance); to be manipulated, to dance to someone's tune"
"驚く","おどろく","to be surprised, to be taken aback, to be amazed, to be astonished, to be shocked; to be frightened, to be startled, to be alarmed"
"お祭り","おまつり","festival, feast, carnival, matsuri"
"お見舞い","おみまい","calling on someone who is ill, enquiry, inquiry"
"お土産","おみやげ, おみあげ","local specialty or souvenir bought as a gift while traveling (travelling); present brought by a visitor; something unpleasant that one is given (e.g. an illness while on vacation), unwelcome gift, disservice"
"思い出す","おもいだす","to recall, to remember, to recollect"
"思う","おもう","to think, to consider, to believe, to reckon; to think (of doing), to plan (to do); to judge, to assess, to regard; to imagine, to suppose, to dream; to expect, to look forward to; to feel, to be (in a state of mind), to desire, to want; to care (deeply) for, to yearn for, to worry about, to love; to recall, to remember"
"玩具","おもちゃ, オモチャ","toy; (person or thing treated as a) plaything"
"表","おもて","surface; face (i.e. the visible side of an object); front (of a building, etc.), obverse side (i.e. ""head"") of a coin; outside, exterior; appearance; public; first half (of an inning), top (of an inning); cover (for tatami mats, etc.); foreground; Omotesenke school of tea ceremony"
"親","おや","parent, parents, mother and father; dealer, banker; founder, inventor; (pet) owner; key, parent (organization), main; ancestor, forefather"
"泳ぎ方","およぎかた","way of swimming"
"降りる","おりる","to descend (e.g. a mountain), to go down, to come down; to alight (e.g. from bus), to get off, to disembark, to dismount; to step down, to retire, to give up, to quit, to fold; to be granted, to be issued, to be given; to form (of frost, dew, mist, etc.); to be passed (from the body; e.g. of a roundworm)"
"折る","おる","to break, to fracture, to break off, to snap off, to pick (e.g. flowers); to fold, to bend; to make (origami); to interrupt, to end"
"お礼","おれい, おんれい","thanks, gratitude; manners, etiquette; bow; reward, gift; ceremony, ritual"
"折れる","おれる","to break, to be broken, to snap, to fracture; to be folded; to give in, to back down, to yield, to submit; to turn (a corner)"
"終わり","おわり","end, ending, close, conclusion; end of (one's) life, death"
"","オートバイ","motorcycle, motorbike"
"海岸","かいがん","coast, beach"
"会議","かいぎ","meeting, conference, session, assembly, council, convention, congress"
"会議室","かいぎしつ","conference room, council room"
"会場","かいじょう","assembly hall, meeting place, venue, site, grounds"
"会話","かいわ","conversation, talk, chat"
"帰り","かえり","return, coming back"
"変える","かえる","to change, to alter, to transform, to convert, to turn, to vary; to reform, to revise, to amend"
"科学","かがく","science; to think about scientifically, to think in terms of science"
"鏡","かがみ","mirror, looking-glass; barrel head; page added at the beginning of a document mentioning its purpose, date, author, etc.; mirror-shaped mochi"
"掛ける","かける","to hang up (e.g. a coat, a picture on the wall), to let hang, to suspend (from), to hoist (e.g. sail), to raise (e.g. flag); to put on (e.g. a blanket), to put on top of, to cover, to lay, to spread; to put on (glasses, etc.), to wear (a necklace, etc.); to make (a call); to spend (time, money), to expend, to use; to pour (liquid) onto, to sprinkle (powder or spices) onto, to splash, to throw (e.g. water) onto; to turn on (an engine, radio, etc.), to set (a dial, alarm clock, etc.), to put on (a DVD, song, etc.), to use (a device, implement, etc.); to cause (someone inconvenience, trouble, etc.), to burden (someone), to impose; to multiply (arithmetic operation); to secure (e.g. lock); to take a seat, to sit, to rest (something on something else), to support (something on something else); to bind; to wager, to bet, to risk, to stake, to gamble; to put an effect (spell, anaesthetic, etc.) on; to hold (a play, festival, etc.); to hold an emotion for (pity, hope, etc.); to argue (in court), to deliberate (in a meeting), to present (e.g. idea to a conference, etc.); to increase further; to catch (in a trap, etc.); to set atop; to erect (a makeshift building); to apply (insurance); to pun (on a word), to use (a word) as a pivot word, to play on words; to be partway doing ..., to begin (but not complete) ..., to be about to ...; to address (someone), to direct (something, to someone), to do (something, to someone)"
"飾る","かざる","to decorate, to ornament, to adorn; to display, to exhibit, to put on show, to arrange; to mark (e.g. the day with a victory), to adorn (e.g. the front page), to grace (e.g. the cover); to affect (a manner), to keep up (appearances), to embellish, to dress up, to be showy, to be pretentious"
"火事","かじ","fire, conflagration"
"硬い","かたい","hard, solid, tough; stiff, tight, wooden, unpolished (e.g. writing); strong, firm (not viscous or easily moved); safe, steady, honest, steadfast; obstinate, stubborn; bookish, formal, stuffy"
"形","かたち, よう","form, shape, figure; visage"
"片付ける","かたづける","to put in order, to tidy up, to clean up, to put away, to clear away; to settle (a matter), to solve, to deal with, to dispose of; to finish, to get through, to complete, to get (something) done; to marry off (one's daughter); to do away with (someone), to bump off, to kill, to eliminate"
"課長","かちょう","section manager, section chief"
"格好","かっこう, かっこ, カッコ","shape, form, figure, posture, pose; appearance, style; state, situation; suitable, fit, reasonable; about"
"勝つ","かつ","to win, to gain victory"
"家内","かない, やうち","(my) wife; inside the home, one's family"
"悲しい","かなしい","sad, miserable, unhappy, sorrowful; sad, lamentable, deplorable, grievous"
"必ず","かならず","always, without exception, necessarily, certainly, without fail, positively, invariably"
"金持ち","かねもち","rich person, wealthy person"
"彼女","かのじょ","she, her; girlfriend"
"壁","かべ, へき","wall, partition; barrier, obstacle, hindrance, difficulty; Chinese ""Wall"" constellation (one of the 28 mansions)"
"構う","かまう","to mind, to care about, to be concerned about, to have a regard for; to be an issue, to matter, to create inconvenience; to keep company, to care for, to look after, to entertain, to pay attention to, to spend time with; to interfere with, to meddle in; to tease; to banish, to prohibit"
"髪","かみ","hair (on the head)"
"噛む","かむ","to bite; to chew, to gnaw, to masticate; to fumble one's words (esp. during a play, broadcast, etc.), to falter with one's words, to stutter, to stammer; to crash against (e.g. of waves), to break onto (shore); to engage (of cogs, zippers, etc.), to mesh, to fit together; to be involved in; to convince, to persuade"
"通う","かよう","to go to and from (a place), to go back and forth between, to run between (e.g. bus, train, etc.), to ply between; to go to (school, work, etc.), to attend, to commute, to frequent; to circulate (e.g. blood, electricity), to be communicated (e.g. thought); to resemble"
"彼","かれ","he, him; boyfriend"
"彼ら","かれら","they, them"
"乾く","かわく","to get dry"
"代わり","かわり","substitute, replacement, substituting, replacing; stand-in, proxy, alternate, deputy, relief, successor; compensation, exchange, return; another helping, second helping, seconds, refill; upcoming program, upcoming programme"
"変わる","かわる","to change, to be transformed, to be altered, to vary; to move to; to be different, to be uncommon, to be unusual"
"考える","かんがえる","to think (about, of), to think over, to ponder, to contemplate, to reflect (on), to meditate (on); to consider, to bear in mind, to allow for, to take into consideration; to think (that), to believe, to hold (a view), to judge, to conclude, to suspect; to intend (to do), to think of (doing), to plan; to predict, to anticipate, to expect, to imagine; to come up with, to think up, to contrive, to devise; to consider (as), to regard (as), to look on (as), to take, to view"
"関係","かんけい","relation, relationship, connection; participation, involvement, concern; influence, effect; sexual relations, sexual relationship; related to, connected to"
"看護婦","かんごふ","(female) nurse"
"簡単","かんたん","simple, easy, uncomplicated; brief, quick, light"
"","カーテン","curtain, curtains"
"瓦斯","ガス","gas (as a fuel); gas (state of matter); poison gas; dense fog, thick fog; gas stove, gas cooker, gas range; gasoline, gas, petrol; flatulence, gas, wind, fart; gassed yarn"
"","ガソリン","gasoline, petrol"
"","ガソリンスタンド, ガソリン・スタンド","gas station, petrol station, filling station"
"硝子","ガラス","glass, pane"
"気","き","spirit, mind, heart; nature, disposition; intention, mind, will, motivation; mood, feelings; consciousness; care, attention, consideration, worry; interest; (the) air, atmosphere; ambience, atmosphere (of), air (of), mood; fragrance, aroma, flavour, taste; qi (in traditional Chinese philosophy and medicine), chi, ki"
"機会","きかい","chance, opportunity, occasion"
"危険","きけん","danger, peril, hazard; risk"
"聞こえる","きこえる","to be heard, to be audible, to reach one's ears; to sound (like), to come across (as); to be well known, to be famous; to accept (someone's words), to agree, to understand"
"汽車","きしゃ","train (esp. long distance train); steam train"
"季節","きせつ","season, time of year"
"規則","きそく","rule, regulation"
"屹度","きっと, キッと","surely, undoubtedly, almost certainly, most likely (e.g. 90 percent); sternly, severely; having no slack, rigid, stiff, tight; suddenly, abruptly, instantly"
"絹","きぬ","silk"
"厳しい","きびしい","severe, strict, rigid, unsparing, relentless; hard (to do), difficult, tricky; intense (e.g. cold), harsh (weather), inclement"
"気分","きぶん","feeling, mood"
"決まる","きまる, キマる","to be decided, to be settled, to be fixed, to be arranged; to be unchanging, to be the same (as always), to be fixed, to be set; to be a fixed rule, to be destined, to be a convention, to be a custom, to be common knowledge; to be well executed (of a manoeuvre in a sport, game, etc.), to go well, to succeed, to connect (of a punch); to look good (of clothing), to look sharp, to be stylish, to suit one, to be held in place (of a hairdo); to be struck and held (of a pose in kabuki)"
"君","きみ","you, buddy, pal; monarch, ruler, sovereign, (one's) master; he, she"
"決める","きめる, キメる","to decide, to choose, to determine, to make up one's mind, to resolve, to set one's heart on, to settle, to arrange, to set, to appoint, to fix; to clinch (a victory), to decide (the outcome of a match); to persist in doing, to go through with; to always do, to have made a habit of; to take for granted, to assume; to dress up, to dress to kill, to dress to the nines; to carry out successfully (a move in sports, a pose in dance, etc.), to succeed in doing; to immobilize with a double-arm lock (in sumo, judo, etc.); to eat or drink something, to take illegal drugs"
"気持ち","きもち","feeling, sensation, mood, state of mind; preparedness, readiness, attitude; thought, sentiment, consideration, solicitude, gratitude; slightly, a bit, a little"
"着物","きもの","kimono, Japanese traditional clothing (esp. full-length); clothing, clothes"
"客","きゃく, かく","guest, visitor; customer, client, shopper, spectator, audience, tourist, sightseer, passenger; counter for containers used to entertain guests"
"急","きゅう","sudden, abrupt, unexpected; urgent, pressing; steep, sharp, precipitous; rapid, swift, fast; emergency, crisis, danger; urgency, hurrying, haste; (in gagaku or noh) end of a song"
"急行","きゅうこう","hurrying (to somewhere), rushing, hastening; express (train)"
"教育","きょういく","education, schooling, training, instruction, teaching, upbringing; culture, cultivation, education"
"教会","きょうかい","church, congregation"
"競争","きょうそう","competition, contest, rivalry, race; competition (between organisms or species)"
"興味","きょうみ","interest (in something), curiosity (about something), zest (for)"
"近所","きんじょ","neighbourhood, neighborhood, vicinity"
"技術","ぎじゅつ","technology, engineering; technique, skill; art, craft"
"空気","くうき","air, atmosphere; mood, situation; someone with no presence, someone who doesn't stand out at all"
"空港","くうこう","airport"
"草","くさ","grass, weed, herb, thatch; ninja; marijuana, cannabis; not genuine, substandard; LOL, haha"
"下さる","くださる","to give, to confer, to bestow; to kindly do for one, to oblige, to favour, to favor"
"首","くび, クビ","neck; head; dismissal (from a job), firing, sacking"
"雲","くも","cloud"
"比べる","くらべる","to compare, to make a comparison (between); to compete (on), to measure (one's strength, ability, etc. against another's)"
"暮れる","くれる","to get dark, to grow dark; to end (of a day, year, season, etc.), to come to an end, to close; to be sunk in (e.g. despair), to be lost in (e.g. thought), to be overcome with"
"呉れる","くれる","to give, to let (one) have; to give; to do for one, to take the trouble to do; to do to someone's disadvantage"
"君","くん","Mr, master, boy; Ms, miss; sir, madam"
"具合","ぐあい, ぐわい","condition, state; health, state (of health); way, manner; circumstance, luck; face, dignity, decency, propriety"
"毛","け","hair; fur, wool; down, plumage, feathers"
"計画","けいかく","plan, project, schedule, scheme, program, programme"
"経験","けいけん","experience"
"警察","けいさつ","police; police officer; police station; self-appointed enforcer (of a rule, standard, etc.), busybody, vigilante, gatekeeper"
"経済","けいざい","economy, economics; finance, (one's) finances, financial circumstances; being economical, economy, thrift"
"怪我","けが, ケガ","injury, wound; mistake, accident, loss"
"景色","けしき, けいしょく","scenery, scene, landscape"
"消しゴム","けしゴム","eraser, rubber"
"決して","けっして, けして","(not) ever, (not) by any means, (not) in the least, (not) in any way, (not) at all"
"","けれど, けれども","but, however, although"
"喧嘩","けんか, ケンカ","quarrel, brawl, fight, squabble, scuffle, argument"
"研究","けんきゅう","research, study, investigation"
"研究室","けんきゅうしつ","laboratory; seminar room; professor's office"
"見物","けんぶつ","sightseeing, watching, viewing; sightseer, spectator, viewer, onlooker"
"","ケーキ","cake"
"下宿","げしゅく","boarding, lodging, board and lodging, room and board; boarding house, lodging house, lodgings"
"原因","げんいん, げいいん","cause, origin, source"
"子","こ","child, kid, teenager, youngster, young (non-adult) person; (one's) child, offspring; young woman; young (animal); offshoot; interest; new share; player who is not a dealer; young geisha, young prostitute; bird egg; -er (often of young women)"
"斯う","こう","in this way, like this, so, thus; this (much), so; uh, er, mm, well"
"郊外","こうがい","suburb, residential area on the outskirt of a city, commuter belt"
"講義","こうぎ","lecture"
"工業","こうぎょう","(manufacturing) industry"
"高校","こうこう","senior high school, high school"
"高校生","こうこうせい","senior high school student"
"工場","こうじょう, こうば","factory, plant, mill, workshop"
"校長","こうちょう","principal, head teacher, headmaster, headmistress"
"交通","こうつう","traffic, transportation, communication, exchange (of ideas, etc.), intercourse"
"高等学校","こうとうがっこう","senior high school, high school"
"講堂","こうどう","auditorium, lecture hall"
"公務員","こうむいん","public employee, government employee, public-sector worker, public servant, civil servant"
"国際","こくさい","international; diplomatic intercourse"
"心","こころ","mind, heart, spirit; the meaning of a phrase (riddle, etc.)"
"故障","こしょう","fault, trouble, breakdown, failure, being out of order; damage (to a part of the body), injury, hurt; problem, hitch, obstacle, hindrance; objection, protest"
"答え","こたえ","answer, reply, response; answer, solution, result"
"事","こと","thing, matter; incident, occurrence, event, something serious, trouble, crisis; circumstances, situation, state of affairs; work, business, affair; after an inflectable word, creates a noun phrase indicating something the speaker does not feel close to; nominalizing suffix; pretending to ..., playing make-believe ...; alias, also known as, otherwise known as, or; necessity, need; you should ..., I advise that you ..., it's important to ..."
"小鳥","ことり","small bird, little bird"
"この間","このあいだ, このかん","the other day, lately, recently, during this period; meanwhile, in the meantime"
"この頃","このごろ","these days, nowadays, now, at present, recently, lately"
"細かい","こまかい","small; fine, minute; minor, trivial; sensitive, attentive; careful, frugal, stingy"
"込む","こむ","to be crowded, to be packed, to be congested, to be thronged (with); to be complex, to be intricate; to go into, to go in, to put into; to become (completely); to do thoroughly, to do sufficiently; to remain (silent, seated, etc.), to stay ..."
"米","こめ, コメ","(husked grains of) rice; staple (product, etc.), necessity; (online) comment"
"此れから","これから","from now on, after this, in the future, in future; from here, from this point"
"怖い","こわい","scary, frightening, eerie, dreadful"
"壊す","こわす","to break, to destroy, to demolish; to wreck, to ruin, to spoil, to damage; to break (a bill, etc.)"
"壊れる","こわれる","to be broken, to break, to fall apart, to collapse, to be destroyed, to be damaged; to break (down), to stop working; to fall through (of a plan, deal, etc.), to collapse, to break down (of a relationship, negotiations, etc.), to be broken off, to be ruined (of an atmosphere, one's image, etc.)"
