"ああ","อย่างนั้น, เช่นนั้น"
"運転(うんてん)","การขับรถ, การขับขี่"
"運転手(うんてんしゅ)","คนขับรถ"
"運動(うんどう)","การออกกำลังกาย, การเคลื่อนไหว"
"エスカレーター","บันไดเลื่อน"
"枝(えだ)","กิ่งไม้"
"選ぶ(えらぶ)","เลือก"
"遠慮(えんりょ)","ความเกรงใจ, การปฏิเสธอย่างสุภาพ"
"お出でになる(おいでになる)","มา, ไป, อยู่ (ภาษาสุภาพมาก)"
"お祝い(おいわい)","การแสดงความยินดี, ของขวัญ"
"お陰で(おかげで)","ด้วยความช่วยเหลือของ..., เพราะ..."
"可笑しい(おかしい)","ตลก, แปลก, น่าสงสัย"
"億(おく)","หนึ่งร้อยล้าน"
"屋上(おくじょう)","ดาดฟ้า"
"贈り物(おくりもの)","ของขวัญ"
"送る(おくる)","ส่ง, ส่งตัว, ใช้เวลา"
"遅れる(おくれる)","สาย, ล่าช้า"
"起こす(おこす)","ปลุก, ก่อให้เกิด, เริ่ม"
"行う(おこなう)","ดำเนินการ, จัดทำ"
"怒る(おこる)","โกรธ, ดุ"
"押入れ(おしいれ)","ตู้เสื้อผ้าติดผนัง"
"お嬢さん(おじょうさん)","ลูกสาว (ท่านอื่น), คุณหนู"
"お宅(おたく)","บ้านท่าน, ครอบครัวท่าน"
"落ちる(おちる)","ตก, ร่วง, สอบตก, หลุด"
"仰る(おっしゃる)","พูด, กล่าว (ภาษาสุภาพมาก)"
"夫(おっと)","สามี"
"お釣り(おつり)","เงินทอน"
"音(おと)","เสียง"
"落とす(おとす)","ทำตก, หล่น, ลบออก, เอาชนะ"
"踊り(おどり)","การเต้นรำ"
"踊る(おどる)","เต้นรำ"
"驚く(おどろく)","ประหลาดใจ, ตกใจ"
"お祭り(おまつり)","เทศกาล, งานเทศกาล"
"お見舞い(おみまい)","การไปเยี่ยมคนป่วย"
"お土産(おみやげ)","ของฝาก, ของที่ระลึก"
"思い出す(おもいだす)","นึกขึ้นมา, ระลึกถึง"
"思う(おもう)","คิด, เชื่อ, รู้สึก"
"玩具(おもちゃ)","ของเล่น"
"表(おもて)","ด้านหน้า, ด้านนอก, ผิวหน้า"
"親(おや)","พ่อแม่, ผู้ปกครอง"
"泳ぎ方(およぎかた)","วิธีว่ายน้ำ"
"降りる(おりる)","ลง, ลงจาก, ออกจาก"
"折る(おる)","หัก, พับ"
"お礼(おれい)","ความขอบคุณ, ของขวัญแสดงความขอบคุณ"
"折れる(おれる)","หัก, แตก, ยอม"
"終わり(おわり)","จบ, ตอนจบ, สิ้นสุด"
"オートバイ","มอเตอร์ไซค์"
"海岸(かいがん)","ชายฝั่ง, ชายหาด"
"会議(かいぎ)","การประชุม"
"会議室(かいぎしつ)","ห้องประชุม"
"会場(かいじょう)","สถานที่จัดงาน, สถานที่ประชุม"
"会話(かいわ)","การสนทนา"
"帰り(かえり)","การกลับ"
"変える(かえる)","เปลี่ยน, เปลี่ยนแปลง"
"科学(かがく)","วิทยาศาสตร์"
"鏡(かがみ)","กระจก"
"掛ける(かける)","แขวน, คลุม, โทร, ใช้ (เวลา/เงิน)"
"飾る(かざる)","ตกแต่ง, ประดับ"
"火事(かじ)","ไฟไหม้"
"硬い(かたい)","แข็ง, แน่น, เข้มงวด"
"形(かたち)","รูปร่าง, รูปทรง"
"片付ける(かたづける)","เก็บของ, จัดเก็บ, แก้ปัญหา"
"課長(かちょう)","หัวหน้าแผนก"
"格好(かっこう)","รูปทรง, รูปลักษณ์, สไตล์"
"勝つ(かつ)","ชนะ"
"家内(かない)","ภรรยา (ของตน)"
"悲しい(かなしい)","เศร้า, ใจหาย"
"必ず(かならず)","อย่างแน่นอน, ต้อง"
"金持ち(かねもち)","คนรวย"
"彼女(かのじょ)","เธอ, แฟน (ผู้หญิง)"
"壁(かべ)","ผนัง, กำแพง"
"構う(かまう)","สนใจ, ยุ่งเกี่ยว"
"髪(かみ)","ผม"
"噛む(かむ)","กัด, เคี้ยว"
"通う(かよう)","เดินทาง (เป็นประจำ), ไปเรียน/ทำงาน"
"彼(かれ)","เขา, แฟน (ผู้ชาย)"
"彼ら(かれら)","พวกเขา"
"乾く(かわく)","แห้ง"
"代わり(かわり)","ตัวแทน, การแทนที่"
"変わる(かわる)","เปลี่ยน, เปลี่ยนแปลง, แตกต่าง"
"考える(かんがえる)","คิด, พิจารณา, วางแผน"
"関係(かんけい)","ความสัมพันธ์, ความเกี่ยวข้อง"
"看護婦(かんごふ)","พยาบาล (ผู้หญิง)"
"簡単(かんたん)","ง่าย, เรียบง่าย, สั้น"
"カーテン","ผ้าม่าน"
"ガス","แก๊ส"
"ガソリン","น้ำมันเบนซิน"
"ガソリンスタンド","ปั๊มน้ำมัน"
"ガラス","กระจก"
"気(き)","จิตใจ, ความรู้สึก, อารมณ์"
"機会(きかい)","โอกาส"
"危険(きけん)","อันตราย, ความเสี่ยง"
"聞こえる(きこえる)","ได้ยิน, ดังได้ยิน"
"汽車(きしゃ)","รถไฟ"
"季節(きせつ)","ฤดูกาล"
"規則(きそく)","กฎระเบียบ"
"屹度(きっと)","แน่นอน, ต้อง"
"絹(きぬ)","ผ้าไหม"
"厳しい(きびしい)","เข้มงวด, รุนแรง, ยาก"
"気分(きぶん)","อารมณ์, ความรู้สึก"
"決まる(きまる)","ถูกตัดสิน, ถูกกำหนด"
"君(きみ)","เธอ, แก (ไม่เป็นทางการ)"
"決める(きめる)","ตัดสินใจ, กำหนด"
"気持ち(きもち)","ความรู้สึก, อารมณ์"
"着物(きもの)","กิโมโน, เสื้อผ้า"
"客(きゃく)","แขก, ลูกค้า"
"急(きゅう)","ด่วน, ฉุกเฉิน, ชัน"
"急行(きゅうこう)","รถด่วน, รีบไป"
"教育(きょういく)","การศึกษา"
"教会(きょうかい)","โบสถ์"
"競争(きょうそう)","การแข่งขัน"
"興味(きょうみ)","ความสนใจ"
"近所(きんじょ)","ย่านใกล้เคียง, บริเวณใกล้บ้าน"
"技術(ぎじゅつ)","เทคนิค, ทักษะ, เทคโนโลยี"
"空気(くうき)","อากาศ, บรรยากาศ"
"空港(くうこう)","สนามบิน"
"草(くさ)","หญ้า"
"下さる(くださる)","ให้ (ภาษาสุภาพมาก)"
"首(くび)","คอ, ไล่ออก"
"雲(くも)","เมฆ"
"比べる(くらべる)","เปรียบเทียบ"
"暮れる(くれる)","มืด (ท้องฟ้า), สิ้นสุด (ปี/วัน)"
"呉れる(くれる)","ให้ (แก่ฉัน)"
"君(くん)","คุณ (ผู้ชาย)"
"具合(ぐあい)","สภาพ, อาการ, ความสะดวก"
"毛(け)","ขน, ผม"
"計画(けいかく)","แผน, โครงการ"
"経験(けいけん)","ประสบการณ์"
"警察(けいさつ)","ตำรวจ"
"経済(けいざい)","เศรษฐกิจ, การเงิน"
"怪我(けが)","บาดเจ็บ, บาดแผล"
"景色(けしき)","ทิวทัศน์, วิวทิวทัศน์"
"消しゴム(けしごむ)","ยางลบ"
"決して(けっして)","ไม่...เลย, ไม่มีทาง"
"けれど","แต่, อย่างไรก็ตาม"
"喧嘩(けんか)","ทะเลาะ, ต่อสู้"
"研究(けんきゅう)","การวิจัย, การศึกษา"
"研究室(けんきゅうしつ)","ห้องวิจัย, ห้องศึกษา"
"見物(けんぶつ)","การชมสถานที่"
"ケーキ","เค้ก"
"下宿(げしゅく)","หอพัก, บ้านเช่ารายเดือน"
"原因(げんいん)","สาเหตุ, ต้นเหตุ"
"子(こ)","เด็ก, ลูก"
"斯う(こう)","อย่างนี้, เช่นนี้"
"郊外(こうがい)","ชานเมือง"
"講義(こうぎ)","การบรรยาย"
"工業(こうぎょう)","อุตสาหกรรม (การผลิต)"
"高校(こうこう)","มัธยมปลาย"
"高校生(こうこうせい)","นักเรียนมัธยมปลาย"
"工場(こうじょう)","โรงงาน"
"校長(こうちょう)","ครูใหญ่, ผู้อำนวยการโรงเรียน"
"交通(こうつう)","การจราจร, การคมนาคม"
"高等学校(こうとうがっこう)","โรงเรียนมัธยมปลาย"
"講堂(こうどう)","หอประชุม, ห้องบรรยาย"
"公務員(こうむいん)","ข้าราชการ, พนักงานรัฐ"
"国際(こくさい)","นานาชาติ, ระหว่างประเทศ"
"心(こころ)","ใจ, จิตใจ"
"故障(こしょう)","เสีย, ขัดข้อง"
"答え(こたえ)","คำตอบ"
"事(こと)","เรื่อง, สิ่ง"
"小鳥(ことり)","นกตัวเล็ก"
"この間(このあいだ)","เมื่อวันก่อน, เร็ว ๆ นี้"
"この頃(このごろ)","ช่วงนี้, เดี๋ยวนี้"
"細かい(こまかい)","ละเอียด, เล็ก, ประณีต"
"込む(こむ)","แน่น, คับคั่ง"
"米(こめ)","ข้าวสาร"
"此れから(これから)","ต่อจากนี้, ตั้งแต่นี้เป็นต้นไป"
"怖い(こわい)","น่ากลัว"
"壊す(こわす)","ทำแตก, ทำลาย"
"壊れる(こわれる)","พัง, แตก, เสีย"
"コンサート","คอนเสิร์ต"
"今度(こんど)","คราวนี้, คราวหน้า"
"コンピュータ","คอมพิวเตอร์"
"今夜(こんや)","คืนนี้"
"ご主人(ごしゅじん)","สามี (ท่านอื่น)"
"ご存知(ごぞんじ)","รู้, ทราบ (ภาษาสุภาพ)"
"ご馳走(ごちそう)","อาหารอร่อย, อาหารมื้อพิเศษ"
"塵(ごみ)","ขยะ, ขยะมูลฝอย"
"ご覧になる(ごらんになる)","ดู, มอง (ภาษาสุภาพมาก)"
"最近(さいきん)","เมื่อเร็ว ๆ นี้, ช่วงนี้"
"最後(さいご)","ตอนสุดท้าย, สุดท้าย"
"最初(さいしょ)","ตอนแรก, เริ่มต้น"
"坂(さか)","ทางลาด, เนิน"
"盛ん(さかん)","เฟื่องฟู, คึกคัก, แพร่หลาย"
"探す(さがす)","ค้นหา, หา"
"下がる(さがる)","ลง, ลดลง, ถอย"
"下げる(さげる)","แขวน, ลด, เอาออก"
"差し上げる(さしあげる)","ให้, มอบ (ถ่อมตน)"
"先(さっき)","เมื่อกี้, เมื่อสักครู่"
"寂しい(さびしい)","เหงา, เปล่าเปลี่ยว"
"再来月(さらいげつ)","เดือนหน้าถัดไป"
"再来週(さらいしゅう)","อาทิตย์หน้าถัดไป"
"サラダ","สลัด"
"然る(さる)","บาง..., บางประการ"
"騒ぐ(さわぐ)","อึกทึก, วุ่นวาย, ตื่นตระหนก"
"触る(さわる)","แตะต้อง, สัมผัส"
"産業(さんぎょう)","อุตสาหกรรม"
"サンダル","รองเท้าแตะ"
"サンドイッチ","แซนวิช"
"残念(ざんねん)","น่าเสียดาย, เสียใจ"
"市(し)","เมือง"
"試合(しあい)","การแข่งขัน (กีฬา)"
"仕方(しかた)","วิธี, ทาง"
"試験(しけん)","การสอบ, การทดสอบ"
"下着(したぎ)","ชุดชั้นใน"
"支度(したく)","การเตรียมตัว"
"確り(しっかり)","มั่นคง, แน่นหนา, อย่างถูกต้อง"
"失敗(しっぱい)","ความล้มเหลว, ความผิดพลาด"
"品物(しなもの)","สินค้า, ของ"
"暫く(しばらく)","สักครู่, สักพัก, นานแล้ว"
"島(しま)","เกาะ"
"市民(しみん)","พลเมือง, ประชาชน"
"社会(しゃかい)","สังคม"
"社長(しゃちょう)","ประธานบริษัท, ผู้จัดการใหญ่"
"習慣(しゅうかん)","นิสัย, ประเพณี"
"出席(しゅっせき)","การเข้าร่วม, การมาร่วม"
"出発(しゅっぱつ)","การออกเดินทาง"
"趣味(しゅみ)","งานอดิเรก, ความสนใจ"
"紹介(しょうかい)","การแนะนำ (ตัว)"
"小学校(しょうがっこう)","โรงเรียนประถม"
"小説(しょうせつ)","นิยาย"
"招待(しょうたい)","คำเชิญ, การเชิญ"
"承知(しょうち)","รับทราบ, ยอมรับ"
"将来(しょうらい)","อนาคต"
"食事(しょくじ)","มื้ออาหาร"
"食料品(しょくりょうひん)","อาหาร, ของชำ"
"知らせる(しらせる)","แจ้ง, แจ้งให้ทราบ"
"調べる(しらべる)","ตรวจสอบ, ค้นคว้า"
"親切(しんせつ)","ใจดี, เป็นมิตร"
"心配(しんぱい)","กังวล, เป็นห่วง"
"新聞社(しんぶんしゃ)","บริษัทหนังสือพิมพ์"
"字(じ)","ตัวอักษร, ตัวหนังสือ"
"事故(じこ)","อุบัติเหตุ"
"地震(じしん)","แผ่นดินไหว"
"時代(じだい)","ยุค, สมัย"
"辞典(じてん)","พจนานุกรม"
"事務所(じむしょ)","สำนักงาน, ออฟฟิศ"
"邪魔(じゃま)","อุปสรรค, สิ่งกีดขวาง"
"ジャム","แยม"
"住所(じゅうしょ)","ที่อยู่"
"柔道(じゅうどう)","ยูโด"
"十分(じゅうぶん)","เพียงพอ, พอเพียง"
"準備(じゅんび)","การเตรียมพร้อม"
"自由(じゆう)","อิสรภาพ, เสรีภาพ"
"女性(じょせい)","ผู้หญิง"
"人口(じんこう)","ประชากร"
"神社(じんじゃ)","ศาลเจ้าชินโต"
"水泳(すいえい)","การว่ายน้ำ"
"水道(すいどう)","ประปา, น้ำประปา"
"数学(すうがく)","คณิตศาสตร์"
"過ぎる(すぎる)","เกินไป, ผ่านไป"
"空く(すく)","โล่ง, หิว"
"スクリーン","จอ, หน้าจอ"
"凄い(すごい)","ยอดเยี่ยม, น่าทึ่ง, มาก"
"進む(すすむ)","ก้าวหน้า, เดินหน้า"
"すっかり","ทั้งหมด, เสร็จสิ้น"
"すっと","รวดเร็ว, เงียบ ๆ, สบายขึ้น"
"捨てる(すてる)","ทิ้ง, โยนทิ้ง, ละทิ้ง"
"ステレオ","เครื่องสเตอริโอ"
"ステーキ","สเต็ก"
"砂(すな)","ทราย"
"素晴らしい(すばらしい)","ยอดเยี่ยม, วิเศษ"
"滑る(すべる)","ลื่น, ไถล, สอบตก"
"隅(すみ)","มุม"
"済む(すむ)","เสร็จ, จบ, โล่งใจ"
"掏摸(すり)","หัวขโมย (ล้วงกระเป๋า)"
"すると","แล้วก็, ดังนั้น"
"スーツ","ชุดสูท"
"スーツケース","กระเป๋าเดินทาง"
"随分(ずいぶん)","มาก, อย่างมาก, ค่อนข้าง"
"生活(せいかつ)","ชีวิตประจำวัน, การดำรงชีวิต"
"生産(せいさん)","การผลิต"
"政治(せいじ)","การเมือง"
"西洋(せいよう)","ตะวันตก, ฝรั่ง"
"世界(せかい)","โลก"
"席(せき)","ที่นั่ง, ตำแหน่ง"
"説明(せつめい)","คำอธิบาย"
"背中(せなか)","หลัง (ของร่างกาย)"
"世話(せわ)","การดูแล, การช่วยเหลือ"
"線(せん)","เส้น, สาย, เส้นทาง"
"戦争(せんそう)","สงคราม"
"先輩(せんぱい)","รุ่นพี่"
"是非(ぜひ)","อย่างแน่นอน, ต้อง"
"全然(ぜんぜん)","ไม่...เลย, เลย"
"そう","ดูเหมือน, ดูเป็น"
"相談(そうだん)","การปรึกษา, การหารือ"
"育てる(そだてる)","เลี้ยงดู, อบรม"
"卒業(そつぎょう)","การสำเร็จการศึกษา"
"祖父(そふ)","ปู่, ตา"
"ソフト","นุ่ม, ซอฟต์แวร์"
"祖母(そぼ)","ย่า, ยาย"
"其れで(それで)","ดังนั้น, เพราะฉะนั้น"
"其れに(それに)","นอกจากนั้น, ยิ่งกว่านั้น"
"それ程(それほど)","มากขนาดนั้น, ถึงขนาดนั้น"
"そろそろ","ใกล้แล้ว, ค่อย ๆ"
"そんな","แบบนั้น, ประเภทนั้น"
"そんなに","มากขนาดนั้น, อย่างนั้น"
"退院(たいいん)","ออกจากโรงพยาบาล"
"大抵(たいてい)","ส่วนใหญ่, โดยทั่วไป"
"台風(たいふう)","พายุไต้ฝุ่น"
"タイプ","ประเภท, แบบ, การพิมพ์"
"倒れる(たおれる)","ล้ม, ล้มลง, เสียชีวิต"
"確か(たしか)","แน่ใจ, น่าเชื่อถือ, ถ้าจำไม่ผิด"
"足す(たす)","บวก, เพิ่ม"
"訪ねる(たずねる)","ไปเยี่ยม"
"尋ねる(たずねる)","ถาม, สอบถาม"
"畳(たたみ)","ตะตะมิ (เสื่อฟาง)"
"正しい(ただしい)","ถูกต้อง, ซื่อสัตย์"
"建てる(たてる)","สร้าง"
"立てる(たてる)","ตั้ง, ยกขึ้น, วางแผน"
"例えば(たとえば)","ตัวอย่างเช่น"
"棚(たな)","ชั้นวาง"
"楽しみ(たのしみ)","ความสนุก, ความตั้งตารอ"
"楽しむ(たのしむ)","สนุก, เพลิดเพลิน"
"偶に(たまに)","บางครั้ง, นาน ๆ ครั้ง"
"為(ため)","เพื่อ, ประโยชน์, ผล"
"足りる(たりる)","พอ, เพียงพอ"
"大学生(だいがくせい)","นักศึกษา"
"大事(だいじ)","สำคัญ, มีค่า, ระมัดระวัง"
"大体(だいたい)","โดยรวม, ประมาณ"
"大分(だいぶ)","มาก, ค่อนข้างมาก"
"だから","ดังนั้น, เพราะฉะนั้น"
"駄目(だめ)","ไม่ได้, ใช้ไม่ได้, ห้าม"
"男性(だんせい)","ผู้ชาย"
"暖房(だんぼう)","เครื่องทำความร้อน"
"血(ち)","เลือด"
"チェック","ลายตาราง, การตรวจสอบ"
"力(ちから)","พลัง, ความสามารถ"
"些とも(ちっとも)","ไม่...เลย, ไม่เลย"
"ちゃん","คำต่อท้ายชื่อ (สนิท/น่ารัก)"
"注意(ちゅうい)","ความระมัดระวัง, คำเตือน"
"中学校(ちゅうがっこう)","โรงเรียนมัธยมต้น"
"注射(ちゅうしゃ)","การฉีดยา"
"駐車場(ちゅうしゃじょう)","ที่จอดรถ"
"地理(ちり)","ภูมิศาสตร์"
"捕まえる(つかまえる)","จับ, ตามจับ"
"月(つき)","ดวงจันทร์, เดือน"
"付く(つく)","ติด, เปิด (ไฟ), ได้รับ"
"漬ける(つける)","แช่, ดอง"
"都合(つごう)","ความสะดวก, สถานการณ์"
"伝える(つたえる)","บอก, แจ้ง, ถ่ายทอด"
"包む(つつむ)","ห่อ, ซ่อน"
"続く(つづく)","ต่อเนื่อง, ต่อไป"
"続ける(つづける)","ทำต่อไป, ดำเนินต่อ"
"妻(つま)","ภรรยา"
"積もり(つもり)","ความตั้งใจ, แผน"
"釣る(つる)","ตกปลา, ล่อ"
"連れる(つれる)","พาไป, พาด้วย"
"丁寧(ていねい)","สุภาพ, ละเอียดรอบคอบ"
"テキスト","ข้อความ, ตำราเรียน"
"適当(てきとう)","เหมาะสม, พอเพียง"
"手伝う(てつだう)","ช่วย, ช่วยเหลือ"
"テニス","เทนนิส"
"手袋(てぶくろ)","ถุงมือ"
"寺(てら)","วัด (พุทธ)"
"点(てん)","คะแนน, จุด, ด้าน"
"店員(てんいん)","พนักงานร้าน, พนักงานขาย"
"天気予報(てんきよほう)","พยากรณ์อากาศ"
"展覧会(てんらんかい)","นิทรรศการ"
"出来るだけ(できるだけ)","เท่าที่จะทำได้, มากที่สุดเท่าที่ทำได้"
"電灯(でんとう)","ไฟฟ้า, หลอดไฟ"
"電報(でんぽう)","โทรเลข"
"都(と)","มหานคร, เมืองหลวง"
"丁々(とうとう)","เสียงตี, เสียงกระแทก"
"遠く(とおく)","ที่ไกล, ระยะไกล"
"通る(とおる)","ผ่าน, เดินผ่าน, ผ่าน (การทดสอบ)"
"特に(とくに)","โดยเฉพาะ"
"特別(とくべつ)","พิเศษ"
"床屋(とこや)","ร้านตัดผม"
"途中(とちゅう)","ระหว่างทาง, กลางคัน"
"特急(とっきゅう)","รถด่วนพิเศษ"
"届ける(とどける)","ส่ง, แจ้ง"
"泊まる(とまる)","พัก (โรงแรม)"
"止める(とめる)","หยุด, ป้องกัน, จอด"
"取り替える(とりかえる)","แลกเปลี่ยน, เปลี่ยน"
"道具(どうぐ)","เครื่องมือ, อุปกรณ์"
"動物園(どうぶつえん)","สวนสัตว์"
"泥棒(どろぼう)","ขโมย, โจร"
"どんどん","เรื่อย ๆ, ต่อเนื่อง, รวดเร็ว"
"直す(なおす)","ซ่อม, แก้ไข"
"治る(なおる)","หาย (จากโรค), ฟื้น"
"中々(なかなか)","ค่อนข้าง, พอสมควร, ไม่ยอมง่าย ๆ"
"泣く(なく)","ร้องไห้"
"無くなる(なくなる)","หาย, หมด"
"亡くなる(なくなる)","เสียชีวิต"
"投げる(なげる)","โยน, ขว้าง"
"為さる(なさる)","ทำ (ภาษาสุภาพมาก)"
"鳴る(なる)","ดัง, ส่งเสียง"
"成るべく(なるべく)","เท่าที่จะทำได้"
"成る程(なるほど)","อ๋อ, เข้าใจแล้ว"
"慣れる(なれる)","เคยชิน, ชิน"
"匂い(におい)","กลิ่น"
"二階建て(にかいだて)","อาคารสองชั้น"
"苦い(にがい)","ขม"
"逃げる(にげる)","หนี, หนีออกไป"
"日記(にっき)","บันทึกประจำวัน"
"入院(にゅういん)","การเข้าโรงพยาบาล"
"入学(にゅうがく)","การเข้าเรียน, การสอบเข้า"
"似る(にる)","เหมือน, คล้าย"
"人形(にんぎょう)","ตุ๊กตา"
"盗む(ぬすむ)","ขโมย"
"塗る(ぬる)","ทา, ทาสี"
"濡れる(ぬれる)","เปียก"
"値段(ねだん)","ราคา"
"熱心(ねっしん)","กระตือรือร้น, ขยัน"
"熱(ねつ)","ไข้, ความร้อน"
"寝坊(ねぼう)","ตื่นสาย"
"眠い(ねむい)","ง่วงนอน"
"眠る(ねむる)","นอนหลับ"
"残る(のこる)","เหลือ, ยังคงอยู่"
"喉(のど)","คอ, ลำคอ"
"乗り換える(のりかえる)","เปลี่ยน (รถ), ต่อ (รถ)"
"乗り物(のりもの)","ยานพาหนะ"
"葉(は)","ใบไม้"
"拝見(はいけん)","ดู (ถ่อมตน)"
"歯医者(はいしゃ)","ทันตแพทย์, หมอฟัน"
"運ぶ(はこぶ)","ขน, ขนส่ง"
"始める(はじめる)","เริ่ม, เริ่มต้น"
"筈(はず)","ควรจะ, น่าจะ"
"恥ずかしい(はずかしい)","อาย, ละอาย"
"はっきり","ชัดเจน, ชัด ๆ"
"発音(はつおん)","การออกเสียง"
"花見(はなみ)","ชมดอกซากุระ"
"林(はやし)","ป่าเล็ก, สวนป่า"
"払う(はらう)","จ่าย (เงิน), ปัด"
"反対(はんたい)","การคัดค้าน, ตรงข้าม"
"ハンドバッグ","กระเป๋าถือ"
"場合(ばあい)","กรณี, สถานการณ์"
"倍(ばい)","สองเท่า, -เท่า"
"場所(ばしょ)","สถานที่, ตำแหน่ง"
"番組(ばんぐみ)","รายการ (ทีวี)"
"パソコン","คอมพิวเตอร์ส่วนตัว"
"パート","งานพาร์ทไทม์"
"日(ひ)","วัน, ดวงอาทิตย์"
"火(ひ)","ไฟ, เปลวไฟ"
"冷える(ひえる)","เย็นลง"
"光(ひかり)","แสง, ความหวัง"
"光る(ひかる)","ส่องแสง, เปล่งประกาย"
"引き出し(ひきだし)","ลิ้นชัก"
"引き出す(ひきだす)","ดึงออก, ถอน (เงิน)"
"髭(ひげ)","หนวดเครา"
"飛行場(ひこうじょう)","สนามบิน"
"久しぶり(ひさしぶり)","นานมากแล้ว, นาน ๆ ครั้ง"
"非常に(ひじょうに)","อย่างมาก, มากเป็นพิเศษ"
"引っ越す(ひっこす)","ย้ายบ้าน"
"必要(ひつよう)","จำเป็น, ต้องการ"
"酷い(ひどい)","โหดร้าย, แย่มาก, รุนแรง"
"開く(ひらく)","เปิด (ด้วยตนเอง), จัดงาน"
"昼間(ひるま)","กลางวัน"
"昼休み(ひるやすみ)","พักกลางวัน"
"拾う(ひろう)","เก็บ, หยิบขึ้นมา"
"美術館(びじゅつかん)","พิพิธภัณฑ์ศิลปะ"
"吃驚(びっくり)","ตกใจ, ประหลาดใจ"
"ビル","อาคาร (หลายชั้น)"
"ピアノ","เปียโน"
"ファックス","แฟกซ์"
"増える(ふえる)","เพิ่ม, เพิ่มขึ้น"
"深い(ふかい)","ลึก, ลึกซึ้ง"
"複雑(ふくざつ)","ซับซ้อน"
"復習(ふくしゅう)","ทบทวน (บทเรียน)"
"普通(ふつう)","ธรรมดา, ปกติ"
"太る(ふとる)","อ้วนขึ้น"
"布団(ふとん)","ฟุตง (ที่นอนญี่ปุ่น)"
"船(ふね)","เรือ"
"不便(ふべん)","ไม่สะดวก, ลำบาก"
"踏む(ふむ)","เหยียบ, ดำเนินตาม"
"降り出す(ふりだす)","เริ่มฝนตก, เริ่มหิมะตก"
