"愛(あい)","ความรัก, ความเสน่หา"
"異常(いじょう)","ผิดปกติ, ผิดธรรมดา"
"椅子(いす)","เก้าอี้"
"泉(いずみ)","น้ำพุ, ธาร"
"何れ(いずれ)","อย่างไหน; ในที่สุด"
"以前(いぜん)","ก่อนหน้า, แต่ก่อน"
"板(いた)","กระดาน, แผ่นไม้"
"悪戯(いたずら)","การซนเล่น, การแกล้ง"
"頂きます(いただきます)","ขอบคุณสำหรับอาหาร (กล่าวก่อนรับประทาน)"
"頂く(いただく)","รับ (ถ่อมตน)"
"痛み(いたみ)","ความเจ็บปวด"
"至る(いたる)","ถึง, บรรลุ"
"偉大(いだい)","ยิ่งใหญ่, ยอดเยี่ยม"
"抱く(いだく)","กอด, โอบกอด; มี (ความรู้สึก)"
"市(いち)","ตลาด"
"位置(いち)","ตำแหน่ง, ที่ตั้ง"
"一時(いちじ)","ครั้งหนึ่ง; หนึ่งนาฬิกา; ชั่วคราว"
"一度に(いちどに)","ในคราวเดียว, พร้อมกัน"
"市場(いちば)","ตลาด"
"一番(いちばん)","อันดับหนึ่ง; ที่ดีที่สุด"
"一家(いっか)","ครอบครัว, บ้าน"
"一種(いっしゅ)","ชนิดหนึ่ง, ประเภทหนึ่ง"
"一瞬(いっしゅん)","ชั่วขณะ, แวบเดียว"
"一生(いっしょう)","ตลอดชีวิต"
"一層(いっそう)","ยิ่งขึ้น, มากกว่าเดิม"
"一体(いったい)","กันแน่, ในโลกนี้; โดยทั่วไป"
"一致(いっち)","ความสอดคล้อง, ความเห็นพ้อง"
"一般(いっぱん)","ทั่วไป, สามัญ"
"一方(いっぽう)","ทางหนึ่ง; ในแง่หนึ่ง; ในขณะที่"
"何時か(いつか)","บางวัน, วันหนึ่ง"
"何時でも(いつでも)","เสมอ; เมื่อไหร่ก็ได้"
"何時までも(いつまでも)","ตลอดไป, ไม่มีวันสิ้นสุด"
"何時も(いつも)","เสมอ; ตามปกติ"
"従兄弟(いとこ)","ลูกพี่ลูกน้อง (ผู้ชาย)"
"移動(いどう)","การเคลื่อนที่, การย้าย"
"稲(いね)","ต้นข้าว"
"居眠り(いねむり)","การงีบหลับ, หลับใน"
"命(いのち)","ชีวิต"
"違反(いはん)","การฝ่าฝืน, การละเมิด"
"衣服(いふく)","เสื้อผ้า"
"居間(いま)","ห้องนั่งเล่น"
"今に(いまに)","ในไม่ช้า, แม้แต่ตอนนี้"
"今にも(いまにも)","ในทุกขณะ, กำลังจะ"
"否(いや)","ไม่"
"以来(いらい)","ตั้งแต่นั้น, นับตั้งแต่"
"依頼(いらい)","การร้องขอ, การมอบหมาย"
"苛々(いらいら)","หงุดหงิด, รำคาญ"
"いらっしゃい","ยินดีต้อนรับ"
"医療(いりょう)","การรักษาพยาบาล"
"岩(いわ)","หิน, ก้อนหิน"
"祝い(いわい)","คำอวยพร, การฉลอง"
"祝う(いわう)","อวยพร, ฉลอง"
"言わば(いわば)","พูดได้ว่า, เปรียบเหมือน"
"所謂(いわゆる)","ที่เรียกว่า, สิ่งที่เรียกกันว่า"
"インク","หมึก"
"印刷(いんさつ)","การพิมพ์"
"印象(いんしょう)","ความประทับใจ"
"引退(いんたい)","การเกษียณ, การวางมือ"
"引用(いんよう)","การอ้างอิง"
"ウイスキー","วิสกี้"
"伺う(うかがう)","ไปเยี่ยม; ถาม (ถ่อมตน)"
"受け取る(うけとる)","รับ, ยอมรับ"
"動かす(うごかす)","เคลื่อนย้าย, ขับเคลื่อน"
"兎(うさぎ)","กระต่าย"
"牛(うし)","วัว"
"失う(うしなう)","สูญเสีย"
"後ろ(うしろ)","ด้านหลัง"
"嘘(うそ)","การโกหก, คำโกหก"
"疑う(うたがう)","สงสัย, ไม่เชื่อ"
"内(うち)","ภายใน; ในบรรดา"
"宇宙(うちゅう)","จักรวาล, อวกาศ"
"訴える(うったえる)","ร้องเรียน; ฟ้องร้อง"
"討つ(うつ)","โจมตี, ปราบ"
"移す(うつす)","ย้าย, โอน"
"唸る(うなる)","ครวญ, คำราม"
"奪う(うばう)","ฉกชิง, ปล้น"
"馬(うま)","ม้า"
"上手い(うまい)","เก่ง, ชำนาญ; อร่อย"
"生まれ(うまれ)","การเกิด, บ้านเกิด"
"梅(うめ)","ดอกพลัม, บ๊วย"
"裏切る(うらぎる)","ทรยศ, หักหลัง"
"得る(うる)","สามารถ; ได้รับ"
"煩い(うるさい)","ดัง, น่ารำคาญ; จุกจิก"
"嬉しい(うれしい)","ดีใจ, มีความสุข"
"売れる(うれる)","ขายดี; มีชื่อเสียง"
"上(うわ)","ด้านบน, พื้นผิว"
"噂(うわさ)","ข่าวลือ, การนินทา"
"運(うん)","โชค, ดวง"
"運転(うんてん)","การขับรถ; การเดินเครื่อง"
"運動(うんどう)","การออกกำลังกาย; การรณรงค์"
"柄(え)","ด้ามจับ, ที่จับ"
"永遠(えいえん)","นิรันดร์, ตลอดกาล"
"永久(えいきゅう)","ถาวร, นิรันดร์"
"影響(えいきょう)","อิทธิพล, ผลกระทบ"
"営業(えいぎょう)","ธุรกิจ; การขาย"
"衛星(えいせい)","ดาวเทียม"
"栄養(えいよう)","โภชนาการ, สารอาหาร"
"笑顔(えがお)","หน้ายิ้ม, รอยยิ้ม"
"描く(えがく)","วาด, บรรยาย"
"餌(えさ)","อาหารสัตว์; เหยื่อ"
"エネルギー","พลังงาน"
"得る(える)","ได้รับ, บรรลุ"
"円(えん)","เยน; วงกลม"
"延期(えんき)","การเลื่อน, การเลื่อนเวลา"
"演技(えんぎ)","การแสดง"
"援助(えんじょ)","การช่วยเหลือ, การสนับสนุน"
"エンジン","เครื่องยนต์"
"演説(えんぜつ)","สุนทรพจน์"
"演奏(えんそう)","การบรรเลง, การแสดงดนตรี"
"遠慮(えんりょ)","การยับยั้งชั่งใจ; การปฏิเสธ"
"御(お)","คำนำหน้าสุภาพ"
"老い(おい)","วัยชรา, ความแก่"
"追いつく(おいつく)","ทันตาม, ตามทัน"
"追う(おう)","ไล่ตาม, ติดตาม"
"王(おう)","กษัตริย์, ราชา"
"王様(おうさま)","พระราชา"
"王子(おうじ)","เจ้าชาย"
"応じる(おうじる)","ตอบสนอง, ปฏิบัติตาม"
"横断(おうだん)","การข้าม, การตัด"
"終える(おえる)","เสร็จสิ้น, จบ"
"大いに(おおいに)","อย่างมาก, เป็นอย่างยิ่ง"
"覆う(おおう)","คลุม, ปกคลุม"
"大家(おおや)","เจ้าของบ้าน, เจ้าของที่พัก"
"丘(おか)","เนิน, เนินเขา"
"沖(おき)","ทะเลหลวง, นอกชายฝั่ง"
"奥(おく)","ด้านใน, ส่วนลึก"
"贈る(おくる)","ให้ (เป็นของขวัญ), มอบ"
"起こる(おこる)","เกิดขึ้น, เกิดเหตุ"
"幼い(おさない)","อ่อน, ยังเล็ก; ไม่บรรลุนิติภาวะ"
"収める(おさめる)","เก็บ, เก็บรักษา; บรรลุ (ผล); ชำระ"
"お喋り(おしゃべり)","การพูดคุย, การนินทา; พูดมาก"
"お祖父さん(おじいさん)","ปู่, คุณปู่; ผู้สูงอายุ"
"汚染(おせん)","มลพิษ, การปนเปื้อน"
"恐らく(おそらく)","น่าจะ, คงจะ"
"恐れる(おそれる)","กลัว, หวาดกลัว"
"恐ろしい(おそろしい)","น่ากลัว, น่าสยดสยอง; น่าทึ่ง"
"お互い(おたがい)","ซึ่งกันและกัน"
"穏やか(おだやか)","สงบ, เงียบ, อ่อนโยน"
"男の人(おとこのひと)","ผู้ชาย"
"劣る(おとる)","ด้อยกว่า, ตามไม่ทัน"
"お腹(おなか)","ท้อง, พุง"
"鬼(おに)","ยักษ์, ปีศาจ"
"お昼(おひる)","มื้อกลางวัน; เที่ยงวัน"
"帯(おび)","สายคาด, สายผ้า (กิโมโน)"
"オフィス","ออฟฟิศ"
"溺れる(おぼれる)","จมน้ำ; หมกมุ่น"
"お前(おまえ)","คุณ (สบาย ๆ)"
"御目出度う(おめでとう)","ขอแสดงความยินดี"
"お目にかかる(おめにかかる)","พบ (ผู้มีตำแหน่งสูงกว่า)"
"思い出(おもいで)","ความทรงจำ, ความระลึก"
"主に(おもに)","ส่วนใหญ่, เป็นหลัก"
"思わず(おもわず)","โดยไม่ได้ตั้งใจ, โดยสัญชาตญาณ"
"親(おや)","พ่อแม่, ผู้ปกครอง"
"泳ぎ(およぎ)","การว่ายน้ำ"
"凡そ(およそ)","ประมาณ; โดยทั่วไป"
"及ぼす(およぼす)","ส่งผล, มีผลกระทบ"
"居る(おる)","อยู่, มี (สิ่งมีชีวิต)"
"下ろす(おろす)","ลด, ขนลง; ถอน (เงิน)"
"終わり(おわり)","จุดสิ้นสุด, ตอนจบ; ความตาย"
"音(おん)","เสียง"
"恩(おん)","บุญคุณ, ความกรุณา"
"温暖(おんだん)","อบอุ่น, ไม่ร้อนไม่หนาว"
"温度(おんど)","อุณหภูมิ"
"オーバー","โอเวอร์โค้ต; เกิน"
"可(か)","ผ่าน, ยอมรับ"
"課(か)","บท, แผนก"
"会(かい)","การประชุม, งานสังสรรค์; สมาคม"
"回(かい)","ครั้ง; รอบ"
"会員(かいいん)","สมาชิก"
"絵画(かいが)","ภาพวาด, ภาพเขียน"
"海外(かいがい)","ต่างประเทศ, ต่างแดน"
"会計(かいけい)","การบัญชี; บิล"
"解決(かいけつ)","การแก้ปัญหา, การคลี่คลาย"
"会合(かいごう)","การประชุม, การพบปะ"
"開始(かいし)","การเริ่มต้น, จุดเริ่มต้น"
"解釈(かいしゃく)","การตีความ, การอธิบาย"
"改善(かいぜん)","การปรับปรุง, การพัฒนา"
"快適(かいてき)","สะดวก, น่าอยู่"
"回復(かいふく)","การฟื้นตัว, การฟื้นฟู"
"飼う(かう)","เลี้ยง (สัตว์เลี้ยง)"
"替える(かえる)","เปลี่ยน, แลกเปลี่ยน"
"香り(かおり)","กลิ่นหอม, กลิ่น"
"抱える(かかえる)","อุ้ม, กอด; แบกรับ"
"価格(かかく)","ราคา, มูลค่า"
"係(かかり)","ผู้รับผิดชอบ, เจ้าหน้าที่"
"掛かる(かかる)","ใช้เวลา; แขวน; เริ่มต้น"
"罹る(かかる)","ป่วย, เป็นโรค"
"化学(かがく)","เคมี"
"輝く(かがやく)","ส่องแสง, ระยิบระยับ"
"鍵(かぎ)","กุญแจ; แนวทางการแก้ปัญหา"
"限る(かぎる)","จำกัด, จำกัดขอบเขต"
"覚悟(かくご)","ความพร้อม, ความตัดสินใจ"
"確実(かくじつ)","แน่นอน, มั่นใจ"
"隠す(かくす)","ซ่อน, ปิดบัง"
"拡大(かくだい)","การขยาย, การขยายตัว"
"確認(かくにん)","การยืนยัน, การตรวจสอบ"
"隠れる(かくれる)","ซ่อน, หลบซ่อน"
"家具(かぐ)","เฟอร์นิเจอร์"
"欠ける(かける)","แตก, บิ่น; ขาดหาย; ขาดแคลน"
"陰(かげ)","เงา, ร่มเงา; ด้านหลัง"
"影(かげ)","เงา, เงาสะท้อน"
"加減(かげん)","ระดับ, สภาพ; การปรับ"
"過去(かこ)","อดีต, ที่ผ่านมา"
"囲む(かこむ)","ล้อมรอบ, โอบล้อม"
"籠(かご)","ตะกร้า, กรง"
"火災(かさい)","เพลิงไหม้"
"菓子(かし)","ขนม, ของหวาน"
"貸し(かし)","การให้ยืม, สินเชื่อ"
"賢い(かしこい)","ฉลาด, เฉลียว"
"歌手(かしゅ)","นักร้อง"
"家事(かじ)","งานบ้าน"
"数(かず)","จำนวน, ปริมาณ"
"稼ぐ(かせぐ)","หาเงิน, ทำเงิน"
"数える(かぞえる)","นับ"
"型(かた)","แบบ, รูปแบบ; แม่แบบ"
"肩(かた)","ไหล่"
"硬い(かたい)","แข็ง, แน่น; เข้มแข็ง"
"方々(かたがた)","หลาย ๆ คน, ทุกคน"
"刀(かたな)","ดาบ, กาตานะ"
"語る(かたる)","เล่า, บอก, พูดถึง"
"勝ち(かち)","ชนะ, การชนะ"
"価値(かち)","คุณค่า, ความมีค่า"
"活気(かっき)","ความมีชีวิตชีวา, พลังงาน"
"格好(かっこう)","รูปร่าง, รูปทรง; เหมาะสม"
"活動(かつどう)","กิจกรรม, การเคลื่อนไหว"
"活用(かつよう)","การนำไปใช้ประโยชน์; การผันคำ"
"悲しむ(かなしむ)","เศร้า, โศกเศร้า"
"必ずしも(かならずしも)","ไม่ (จำเป็น) เสมอไป"
"可也(かなり)","ค่อนข้าง, พอสมควร"
"金(かね)","เงิน; โลหะ"
"金持ち(かねもち)","คนรวย, ผู้มั่งมี"
"可能(かのう)","เป็นไปได้, ทำได้"
"株(かぶ)","หุ้น; ตอไม้"
"被る(かぶる)","สวมใส่ (บนหัว); ปกคลุม"
"構う(かまう)","ใส่ใจ, สนใจ"
"神(かみ)","พระเจ้า, เทพเจ้า"
"上(かみ)","ส่วนบน, ต้นน้ำ"
"雷(かみなり)","ฟ้าผ่า, ฟ้าร้อง"
"髪の毛(かみのけ)","เส้นผม"
"科目(かもく)","วิชา, หัวข้อ"
"かも知れない(かもしれない)","อาจจะ, อาจเป็นไปได้"
"火曜(かよう)","วันอังคาร"
"空(から)","ว่างเปล่า, ไม่มีอะไร"
"刈る(かる)","ตัด, เกี่ยว"
"彼ら(かれら)","พวกเขา"
"革(かわ)","หนัง, หนังสัตว์"
"川(かわ)","แม่น้ำ, ลำธาร"
"皮(かわ)","ผิวหนัง; เปลือก"
"可哀想(かわいそう)","น่าสงสาร"
"可愛らしい(かわいらしい)","น่ารัก, สวยงาม"
"缶(かん)","กระป๋อง"
"管(かん)","ท่อ, หลอด"
"勘(かん)","สัญชาตญาณ, ความรู้สึก"
"感覚(かんかく)","ความรู้สึก, ประสาทสัมผัส"
"考え(かんがえ)","ความคิด, ความเห็น, ความตั้งใจ"
"観客(かんきゃく)","ผู้ชม, คนดู"
"環境(かんきょう)","สิ่งแวดล้อม, สภาพแวดล้อม"
"歓迎(かんげい)","การต้อนรับ, การให้การต้อนรับ"
"観光(かんこう)","การท่องเที่ยว, การท่องเที่ยว"
"観察(かんさつ)","การสังเกต, การสำรวจ"
"感謝(かんしゃ)","ความกตัญญู, การขอบคุณ"
"感心(かんしん)","การชื่นชม; ความประหลาดใจ"
"関心(かんしん)","ความสนใจ, ความกังวล"
"感じ(かんじ)","ความรู้สึก, ความประทับใจ"
"患者(かんじゃ)","ผู้ป่วย"
"勘定(かんじょう)","การคำนวณ; ค่าใช้จ่าย"
"感情(かんじょう)","อารมณ์, ความรู้สึก"
"感じる(かんじる)","รู้สึก, สัมผัส"
"関する(かんする)","เกี่ยวกับ, เกี่ยวข้องกับ"
"完成(かんせい)","การสำเร็จ, ความสมบูรณ์"
"完全(かんぜん)","สมบูรณ์แบบ, ครบถ้วน"
"監督(かんとく)","การดูแล, การควบคุม; ผู้กำกับ"
"感動(かんどう)","การซาบซึ้งใจ, ความประทับใจ"
"管理(かんり)","การจัดการ, การควบคุม"
"完了(かんりょう)","การสำเร็จ, การเสร็จสิ้น"
"関連(かんれん)","ความเกี่ยวข้อง, ความสัมพันธ์"
"カー","รถยนต์"
"カード","บัตร"
"害(がい)","ความเสียหาย, อันตราย"
"外交(がいこう)","การทูต"
"外出(がいしゅつ)","การออกไปข้างนอก"
"画家(がか)","จิตรกร, นักวาดภาพ"
"学(がく)","การเรียนรู้, การศึกษา"
"額(がく)","กรอบ (ภาพ); จำนวนเงิน"
"学者(がくしゃ)","นักวิชาการ, นักวิทยาศาสตร์"
"学習(がくしゅう)","การเรียน, การศึกษา"
"学問(がくもん)","การศึกษา, วิชาการ"
"がっかり","ผิดหวัง, เสียใจ"
"学期(がっき)","ภาคเรียน, เทอม"
"我慢(がまん)","ความอดทน, การข่มใจ"
"柄(がら)","ลวดลาย, รูปแบบ; นิสัย"
"含嗽(がんそう)","การกลั้วคอ"
"記憶(きおく)","ความทรงจำ, การจำ"
"気温(きおん)","อุณหภูมิอากาศ"
"機械(きかい)","เครื่องจักร, กลไก"
"期間(きかん)","ระยะเวลา"
"機関(きかん)","หน่วยงาน, เครื่องยนต์"
"企業(きぎょう)","บริษัท, องค์กร, กิจการ"
"効く(きく)","ได้ผล, ใช้ได้"
"機嫌(きげん)","อารมณ์, สุขภาพ"
"気候(きこう)","สภาพอากาศ, ภูมิอากาศ"
"岸(きし)","ฝั่ง, ชายฝั่ง"
"記者(きしゃ)","นักข่าว, ผู้สื่อข่าว"
"生地(きじ)","ผ้า, วัสดุ; ลักษณะนิสัย"
"記事(きじ)","บทความ, ข่าว"
"傷(きず)","บาดแผล, รอยถลอก; ตำหนิ"
"期待(きたい)","ความคาดหวัง, ความหวัง"
"帰宅(きたく)","กลับบ้าน"
"貴重(きちょう)","มีค่า, ล้ำค่า"
"きちんと","อย่างถูกต้อง, อย่างเป็นระเบียบ"
"きつい","หนัก, เข้มแข็ง; แน่น"
"気づく(きづく)","สังเกต, ตระหนัก"
"気に入る(きにいる)","ชอบ, ถูกใจ"
"記入(きにゅう)","การกรอก (ข้อมูล)"
"記念(きねん)","การระลึก, การรำลึก"
"機能(きのう)","ฟังก์ชัน, ความสามารถ"
"気の毒(きのどく)","น่าสงสาร, โชคร้าย"
"寄付(きふ)","การบริจาค, การช่วยเหลือ"
"基本(きほん)","พื้นฐาน, รากฐาน"
"希望(きぼう)","ความหวัง, ความปรารถนา"
"決まり(きまり)","กฎ, ระเบียบ; ข้อตกลง"
"気味(きみ)","ความรู้สึก, แนวโน้ม"
"奇妙(きみょう)","แปลก, พิกล"
"キャプテン","กัปตัน"
"キャンプ","แคมป์, การตั้งแคมป์"
"旧(きゅう)","เก่า, อดีต"
"球(きゅう)","ลูกบอล, ทรงกลม"
"九(きゅう)","เก้า, 9"
"級(きゅう)","ชั้น, ระดับ"
"休暇(きゅうか)","วันหยุด, วันลา"
"休憩(きゅうけい)","การพัก, ช่วงพัก"
"急激(きゅうげき)","ฉับพลัน, รุนแรง"
"吸収(きゅうしゅう)","การดูดซับ, การดูดซึม"
"救助(きゅうじょ)","การช่วยเหลือ, การกู้ภัย"
"急速(きゅうそく)","รวดเร็ว, เร็วมาก"
"急に(きゅうに)","ทันที, รวดเร็ว; อย่างกะทันหัน"
"給料(きゅうりょう)","เงินเดือน, ค่าจ้าง"
"今日(きょう)","วันนี้"
"教科書(きょうかしょ)","หนังสือเรียน"
"供給(きょうきゅう)","การจัดหา, การจัดส่ง"
"競技(きょうぎ)","การแข่งขัน, กีฬา"
"教師(きょうし)","ครู, อาจารย์"
"教授(きょうじゅ)","ศาสตราจารย์; การสอน"
"強調(きょうちょう)","การเน้น, การย้ำ"
"共通(きょうつう)","ร่วมกัน, ใช้ร่วม"
"共同(きょうどう)","การร่วมมือ, การร่วมกัน"
"恐怖(きょうふ)","ความกลัว, ความหวาดกลัว"
"協力(きょうりょく)","การร่วมมือ, การสนับสนุน"
"強力(きょうりょく)","แข็งแกร่ง, ทรงพลัง"
"許可(きょか)","การอนุญาต, การอนุมัติ"
"局(きょく)","สำนักงาน; สถานีโทรทัศน์"
"巨大(きょだい)","ยักษ์ใหญ่, มหึมา"
"器用(きよう)","ชำนาญ, คล่องแคล่ว"
"嫌う(きらう)","เกลียด, ไม่ชอบ"
"霧(きり)","หมอก, ละอองน้ำ"
"切れ(きれ)","ชิ้น, แผ่น; ความคม"
"切れる(きれる)","ขาด, แตก; หมดอายุ; โกรธ"
"キロ","กิโล, กิโลกรัม, กิโลเมตร"
"記録(きろく)","บันทึก, สถิติ"
"金(きん)","ทอง; เงิน; วันศุกร์"
"禁煙(きんえん)","การงดสูบบุหรี่; ห้ามสูบบุหรี่"
"金額(きんがく)","จำนวนเงิน"
"金庫(きんこ)","ตู้นิรภัย, คลังเงิน"
"禁止(きんし)","การห้าม, คำสั่งห้าม"
"金銭(きんせん)","เงิน, สกุลเงิน"
"金属(きんぞく)","โลหะ"
"近代(きんだい)","ยุคปัจจุบัน, สมัยใหม่"
"緊張(きんちょう)","ความตึงเครียด, ความประหม่า"
"筋肉(きんにく)","กล้ามเนื้อ"
"金融(きんゆう)","การเงิน, การหมุนเวียนเงิน"
"金曜(きんよう)","วันศุกร์"
"議員(ぎいん)","สมาชิกรัฐสภา"
"議会(ぎかい)","รัฐสภา, สภา"
"技師(ぎし)","วิศวกร, ช่างเทคนิค"
"議長(ぎちょう)","ประธาน, ประธานสภา"
"義務(ぎむ)","หน้าที่, ความรับผิดชอบ"
"疑問(ぎもん)","ข้อสงสัย, คำถาม"
"逆(ぎゃく)","กลับกัน, ตรงกันข้าม"
"行儀(ぎょうぎ)","มารยาท, กิริยา"
"議論(ぎろん)","การโต้เถียง, การอภิปราย"
"銀(ぎん)","เงิน (ธาตุ); สีเงิน"
"句(く)","ประโยค, วลี; กลอน"
"食う(くう)","กิน; ดำรงชีพ"
"臭い(くさい)","มีกลิ่น, เหม็น; น่าสงสัย"
"鎖(くさり)","โซ่"
"腐る(くさる)","เน่า, เสีย; ท้อแท้"
"癖(くせ)","นิสัย (ไม่ดี); ลักษณะเฉพาะ"
"下さる(くださる)","ให้ (ถ่อมตน)"
"下り(くだり)","ขาลง, รถลง"
"苦痛(くつう)","ความเจ็บปวด, ความทรมาน"
"区別(くべつ)","การแยกแยะ, ความแตกต่าง"
"組合(くみあい)","สหภาพ, สมาคม"
"組(くみ)","กลุ่ม, ชั้น; ชุด"
"組む(くむ)","ประกอบ, สร้าง; กอดรัด"
"曇り(くもり)","ครึ้ม, มีเมฆมาก; ดำมัว"
"位(くらい)","ตำแหน่ง, ยศ"
"暮らし(くらし)","ชีวิตความเป็นอยู่"
"クラシック","ดนตรีคลาสสิก"
"暮らす(くらす)","ดำรงชีวิต, ใช้ชีวิต"
"繰り返す(くりかえす)","ทำซ้ำ, วนซ้ำ"
"クリスマス","คริสต์มาส"
"クリーム","ครีม"
"狂う(くるう)","บ้า, เสียสติ; พัง"
"苦しい(くるしい)","เจ็บปวด, ยากลำบาก"
"苦しむ(くるしむ)","ทุกข์ทรมาน, วิตกกังวล"
"暮れ(くれ)","พลบค่ำ, ปลายปี"
"苦労(くろう)","ความยากลำบาก, ความทุกข์"
"加える(くわえる)","เพิ่ม, เสริม; รวม"
"詳しい(くわしい)","ละเอียด, รู้จักดี"
"加わる(くわわる)","เพิ่มขึ้น, ขยาย"
"訓(くん)","การอ่านแบบญี่ปุ่น (คันจิ); บทเรียน"
"訓練(くんれん)","การฝึกอบรม, การฝึกซ้อม"
"偶然(ぐうぜん)","บังเอิญ, ความบังเอิญ"
"具体(ぐたい)","ความเป็นรูปธรรม, สิ่งที่จับต้องได้"
"ぐっすり","หลับสบาย"
"グラス","แก้ว"
"グランド","ใหญ่โต, กว้างขวาง"
"グループ","กลุ่ม"
"軍(ぐん)","กองทัพ, ทหาร"
"軍隊(ぐんたい)","กองทัพ, กำลังทหาร"
"計(けい)","แผน; เครื่องวัด; รวมทั้งสิ้น"
"敬意(けいい)","ความเคารพ"
"経営(けいえい)","การจัดการ, การบริหาร"
"計画(けいかく)","แผน, โครงการ"
"景気(けいき)","สภาพเศรษฐกิจ; ความรุ่งเรือง"
"経験(けいけん)","ประสบการณ์"
"傾向(けいこう)","แนวโน้ม, ทิศทาง"
"警告(けいこく)","คำเตือน"
"計算(けいさん)","การคำนวณ, การนับ"
"掲示(けいじ)","ประกาศ, กระดานข่าว"
"刑事(けいじ)","นักสืบ; คดีอาญา"
"契約(けいやく)","สัญญา, ข้อตกลง"
"経由(けいゆ)","ผ่านทาง, แวะ"
"怪我(けが)","บาดเจ็บ, แผล; ความผิดพลาด"
"化粧(けしょう)","การแต่งหน้า, เครื่องสำอาง"
"吝嗇(ケチ)","ขี้เหนียว, ตระหนี่; ไม่ดี"
"結果(けっか)","ผล, ผลลัพธ์"
"欠陥(けっかん)","ข้อบกพร่อง, ตำหนิ"
"結局(けっきょく)","ท้ายที่สุด, ในที่สุด"
"決心(けっしん)","ความตั้งใจ, การตัดสินใจ"
"欠席(けっせき)","การขาดเรียน, การไม่เข้าร่วม"
