"会う","あう","to meet, to encounter, to see; to have an accident, to have a bad experience"
"朝ご飯","あさごはん","breakfast"
"明後日","あさって, みょうごにち","day after tomorrow; wrong (e.g. direction)"
"足","あし","foot, paw, arm (of an octopus, squid, etc.); leg; gait; pace; lower radical of a kanji; means of transportation, (one's) ride; money, coin"
"明日","あした, あす, みょうにち","tomorrow; near future"
"彼処","あそこ, あすこ, かしこ, アソコ, あしこ, あこ","there, over there, that place, yonder, you-know-where; genitals, private parts, nether regions; that far, that much, that point"
"遊ぶ","あそぶ, あすぶ","to play (games, sports), to enjoy oneself, to have a good time; to mess about (with alcohol, gambling, philandery, etc.); to be idle, to do nothing, to be unused; to meet up (with friends), to hang out; to give oneself up (to gambling, drinking, etc.); to go to (for pleasure or for study); to tease (someone), to play (with); to intentionally throw a ball to lower the batter's concentration"
"暖かい","あたたかい, あったかい, あったけー","warm, mild, (pleasantly) hot; considerate, kind, genial; warm (of a colour), mellow; having enough money"
"頭","あたま, かしら","head; hair (on one's head); mind, brains, intellect; leader, chief, boss, captain; top, tip; beginning, start; head, person; down payment, deposit; top structural component of a kanji; pair"
"新しい","あたらしい","new, novel, fresh, recent, latest, up-to-date, modern"
"彼方","あちら, あっち, あち","that way, that direction, over there, yonder; that (one); that person; there, over there, foreign country (esp. a Western nation)"
"厚い","あつい","thick, deep, heavy; kind, cordial, hospitable, warm, faithful; serious (of an illness); abundant"
"熱い","あつい, あっつい","hot (to the touch); passionate (feelings, etc.), ardent, hot (e.g. gaze); hot (e.g. temper); zealous, enthusiastic, fired up; intense, severe, extreme; hot (topic), of interest"
"暑い","あつい, あづい, あぢぃ, あぢー, あぢい, あっつい","hot, warm, sultry, heated; passionate, impassioned, burning (desire, etc.); on everybody's mind, on the radar, du jour, interested (gaze, etc.)"
"後","あと","behind, rear; after, later; remainder, the rest; more (e.g. five more minutes), left; also, in addition; descendant, successor, heir; after one's death; past, previous"
"貴方","あなた","you; dear, honey"
"兄","あに","older brother, elder brother; brother-in-law (spouse's older brother or older sister's husband)"
"姉","あね","older sister, elder sister"
"","あの, あのー, あのう","say, well, um, er"
"彼の","あの, あん","that, those, the"
"","アパート","apartment building, apartment block, apartment house; apartment"
"浴びる","あびる","to dash over oneself (e.g. water), to take (e.g. shower), to bask in (e.g. the sun), to bathe in, to be flooded with (e.g. light), to be covered in; to suffer (e.g. an attack), to draw (e.g. criticism, attention, praise), to have heaped upon, to be showered with"
"危ない","あぶない, アブナい, あぶねー, あっぶねー","dangerous, risky, hazardous, perilous, precarious; in danger, in jeopardy, critical, grave, at risk; uncertain, unreliable, insecure, unsteady, doubtful; close (call), narrow (escape); look out!, watch out!, be careful!"
"甘い","あまい","sweet-tasting, sweet, sugary, sugared; fragrant (smelling), sweet (music); lightly salted, light in salt, not spicy; naive, overly optimistic, soft on, generous, indulgent, easy-going, lenient; half-hearted, not finished properly; insufficient, not satisfactory, inadequate, loose; mild; tempting, enticing, luring"
"余り","あまり, あんまり","remainder, remnant, rest, balance, surplus, remains (of a meal), leftovers; (not) very, (not) much; too much, excessively, overly; extreme, great, severe, tremendous, terrible; not very good, so-so, mediocre; more than, over"
"飴","あめ","(hard) candy, toffee; rice-sugar, sugar made from the starch of rice, potatoes, etc.; amber, yellowish-brown"
"雨","あめ","rain; rainy day, rainy weather; the November suit (in hanafuda)"
"洗う","あらう","to wash, to cleanse, to rinse; to inquire into, to investigate; to purify (one's heart); to lave (e.g. shore), to wash over (e.g. deck), to sweep"
"有る","ある","to be, to exist, to live; to have; to be located; to be equipped with; to happen, to come about; to exist (in a completed state), to be (something unchanged in its current state)"
"歩く","あるく","to walk"
"彼","あれ, アレ","that, that thing; that person; then, that time; that place (over there); down there (i.e. one's genitals); period, menses"
"","いい","good, excellent, fine, nice, pleasant, agreeable; sufficient, enough, ready, prepared; profitable (deal, business offer, etc.), beneficial; OK, all right, fine, no problem"
"","いいえ, いえ","no; you're welcome, not at all, don't mention it"
"言う","いう, ゆう","to say, to utter, to declare; to name, to call; to go (e.g. ""the alarm went ping""), to make a noise"
"家","いえ","house, residence, dwelling, home; family, household; lineage, family name"
"如何","いかが","how, in what way, how about; questionable"
"行く","いく, ゆく, イク","to go, to move (towards), to head (towards), to leave (for); to move through, to travel across, to walk along (e.g. a road); to go (well, badly, etc.), to proceed, to turn out, to get along; to do (in a particular way), to go (with; a choice), to try; to pass (of time, seasons, etc.), to go by; to stream, to flow; to die, to pass away; to reach (a stage, extent, age, etc.), to get to, to go (so far as ...); to reach (of information, instructions, wind, etc.), to arrive; to continue ..., to go on ..., to (progress) steadily, to gradually ..., to progressively ...; to have an orgasm, to come, to cum; to trip, to get high, to have a drug-induced hallucination"
"幾つ","いくつ","how many; how old"
"幾ら","いくら","how much; something over, and something, -odd; however (much), no matter how"
"池","いけ","pond"
"医者","いしゃ","doctor, physician"
"椅子","いす, イス","chair, seat, stool, bench; post, position, seat, office"
"忙しい","いそがしい","busy, occupied, hectic; restless, hurried, fidgety"
"痛い","いたい, イタイ, イタい","painful, sore; cringy, embarrassing"
"一","いち","one, 1; best; first, foremost; beginning, start; a (single), one (of many); ace; bottom string (on a shamisen, etc.)"
"一日","いちにち, いちじつ","one day; all day (long), the whole day, from morning till night; first day of the month"
"一番","いちばん","number one, first, first place; best, most; game, round, bout; as a test, as an experiment, by way of experiment, by way of trial, tentatively; song (e.g. in noh), piece"
"一緒","いっしょ","(doing) together; one lump, one mixture, the same category; the same, identical; (at) the same time"
"何時","いつ","when, at what time, how soon; normal times, ordinary days"
"５日","いつか, ごにち","5th day of the month; five days"
"五つ","いつつ","five; five years of age; eight o'clock (old time system)"
"何時も","いつも","always, all the time, at all times; never; usual, regular, habitual, customary"
"犬","いぬ, イヌ","dog (Canis (lupus) familiaris); squealer, rat, snitch, informer, informant, spy; loser, asshole; counterfeit, inferior, useless, wasteful"
"今","いま","now, the present time, just now, soon, immediately; another, more"
"意味","いみ","meaning, significance, sense"
"妹","いもうと","younger sister"
"嫌","いや, や, イヤ","disliking, not wanting, unwilling (to do), reluctant; unpleasant, disagreeable, nasty, horrible, disgusting, undesirable, unwelcome; no!, quit it!, stop!"
"入り口","いりぐち, いりくち, はいりぐち, はいりくち","entrance, entry, gate, approach, mouth"
"居る","いる","to be (of animate objects), to exist; to stay; to be ...-ing, to have been ...-ing"
"要る","いる","to be needed, to be necessary, to be required, to be wanted, to need, to want"
"入れる","いれる","to put in, to let in, to take in, to bring in, to insert, to install (e.g. software), to set (a jewel, etc.), to ink in (e.g. tattoo); to admit, to accept, to employ, to hire; to accept, to comply, to grant, to adopt (a policy, etc.), to take (advice, etc.), to listen to, to pay attention to; to include; to pay (one's rent, etc.); to cast (a vote); to make (tea, coffee, etc.); to turn on (a switch, etc.); to send (a fax), to call"
"色","いろ","colour, color, hue, tint, tinge, shade; complexion, skin colour, skin color; look (on one's face), expression; appearance, air, feeling; personality, character; tone (of one's voice, etc.), tune, sound, ring; love, lust, sensuality, love affair; lover, paramour; beauty, sexiness, physical appeal; kind, type, variety"
"色々","いろいろ","various, a variety of, all sorts of, many (different); variously, in various ways, in many ways; various things, this and that"
"上","うえ","above, over, up; top, summit, upper part, head (e.g. of a staircase); surface, on (top of); the above (in a piece of writing), earlier part; superior, better, higher (position, rank, etc.), upper (class); elder, older, senior; with respect to ..., in terms of, as far as ... is concerned, when (e.g. drunk); besides ..., in addition to ..., on top of ..., as well as ...; after ..., upon ..., on ..., with (e.g. full awareness), as a result of ...; since ..., now that ..., because ...; honorable, venerable, dear; emperor, sovereign, shogun, daimyo"
"後ろ","うしろ","back, behind, rear"
"薄い","うすい","thin (of an object); pale, light, faint; watery, thin, diluted; weak (taste, etc.), little (affection, etc.), not much (of a presence); slim (probability, etc.), small; sparse, patchy, scattered"
"歌","うた","song, singing; classical Japanese poem (esp. tanka); modern poetry"
"歌う","うたう","to sing; to sing of (love, beauty, etc.) in a poem, to express in the form of a poem, to recite (a poem)"
"生まれる","うまれる","to be born"
"海","うみ, み, わた, わだ","sea, ocean, waters"
"売る","うる","to sell; to betray, to sell out (one's friend, country, etc.); to make (oneself) known, to establish (a reputation) for oneself; to pick (a fight, quarrel, etc.), to provoke, to force on someone"
"煩い","うるさい, ウルサイ","noisy, loud; annoying, troublesome, tiresome, persistent, importunate; fussy, finicky, picky, particular, nagging, fastidious, bossy; shut up, be quiet"
"上着","うわぎ, じょうい","coat, jacket, outerwear; top, upper-body garment"
"絵","え, が","picture, drawing, painting, sketch; image (TV, film, etc.), picture, footage"
"映画","えいが","movie, film, motion picture"
"映画館","えいがかん","movie theatre, movie theater, cinema"
"英語","えいご","English (language)"
"","ええ, えー, えーー, えーっ","yes, that is correct, right; um, errr, well; huh?; grrr, gah, must I?; good"
"駅","えき","railway station, train station; staging post on a highway (in pre-modern Japan); counter for railway stations and bus stations"
"","エレベーター, エレベータ","elevator, lift; elevator"
"鉛筆","えんぴつ, エンピツ","pencil"
"美味しい","おいしい, オイシイ","good(-tasting), nice, delicious, tasty; attractive (offer, opportunity, etc.), appealing, convenient, favorable, desirable, profitable"
"多い","おおい","many, numerous, a lot; large amount of, large quantity of, a lot, much; frequent, common"
"大きい","おおきい","big, large, great; loud; extensive, spacious; important, decisive, valuable; older, grown up"
"大きな","おおきな","big, large, great"
"大勢","おおぜい, たいぜい","crowd of people, great number of people; in great numbers"
"お母さん","おかあさん","mother, mom, mum, ma; wife; you (of an elderly person older than the speaker), she, her"
"お菓子","おかし","confections, sweets, candy, cake"
"お金","おかね","money"
"起きる","おきる","to get up, to rise, to blaze up (fire); to wake up, to be awake, to stay awake; to occur (usu. of unfavourable incidents), to happen, to take place"
"置く","おく","to put, to place; to leave (behind); to establish (an organization, a facility, a position, etc.), to set up; to appoint (someone to a certain position), to hire, to employ; to place (one's trust, one's faith, etc.), to bear (in mind, etc.); to put down a tool (e.g. a pen) hence stopping what one is doing with that tool; to take in (boarders, etc.), to provide lodging in one's house; to separate spatially or temporally; to do something in advance; to leave something in a certain state, to keep something in a certain state"
"奥さん","おくさん","wife, your wife, his wife, married lady, madam"
"お酒","おさけ","alcohol, sake"
"お皿","おさら","plate, dish"
"教える","おしえる","to teach, to instruct; to tell, to inform, to show; to preach"
"叔父","おじ, はくふ, しゅくふ","uncle"
"押す","おす","to push, to thrust, to shove; to press (down), to push (e.g. a button), to exert pressure on; to stamp (e.g. one's name), to affix (a seal); to affix (e.g. gold leaf); to push (someone for something), to press, to put pressure on (someone); to overwhelm, to overpower, to put (someone) under pressure, to be superior to; to push ahead (with a policy, plan, etc.), to proceed, to stick to; to do ... in spite of ..., to defy, to brave, to push aside; to make sure; to fall behind schedule"
"遅い","おそい, おっそい, おそーい, おっそーい, おせー, おっせー","slow; late; too late"
"お茶","おちゃ","tea (esp. green or barley); tea break (at work); tea ceremony"
"お手洗い","おてあらい","toilet, restroom, lavatory, bathroom"
"お父さん","おとうさん, おとっさん","father, dad, papa, pa, pop, daddy, dada; husband; you (of an elderly person older than the speaker), he, him"
"弟","おとうと, てい","younger brother, little brother, kid brother; brother-in-law (spouse's younger brother or younger sister's husband); pupil, apprentice"
"男","おとこ, おっこ","man, male; fellow, guy, chap, bloke; male lover, boyfriend, man; manliness, manly honor, manly honour, manly reputation"
"男の子","おとこのこ","boy, son, baby boy; young man"
"一昨日","おととい, おとつい, いっさくじつ","day before yesterday"
"一昨年","おととし, いっさくねん","year before last"
"大人","おとな","adult, grown-up"
"お腹","おなか","belly, abdomen, stomach"
"同じ","おなじ, おんなじ","same, identical, equal, alike, equivalent; anyway, in any case, if one must ..., if one has to ..., as long as ..."
"お兄さん","おにいさん","older brother, elder brother; young man, buddy, fella, laddie"
"お姉さん","おねえさん","older sister, elder sister; young lady; miss; ma'am; older girl"
"お祖母さん","おばあさん, おばーさん","grandmother; old woman, female senior citizen"
"伯母さん","おばさん","aunt"
"お風呂","おふろ","bath"
"お弁当","おべんとう","bento, Japanese box lunch"
"覚える","おぼえる","to memorize, to memorise, to commit to memory, to learn by heart, to bear in mind, to remember; to learn, to pick up, to acquire; to feel; to think, to regard"
"お巡りさん","おまわりさん","police officer"
"重い","おもい","heavy, weighty; heavy (feeling), depressed, gloomy, blue, uneasy; slow, sluggish, lumbering, ponderous, clumsy; important (position, responsibility, etc.), serious, grave; serious (punishment, illness, etc.), severe, critical; solid, established, dignified, sensible"
"面白い","おもしろい","interesting, fascinating, intriguing, enthralling; amusing, funny, comical; enjoyable, fun, entertaining, pleasant, agreeable; good, satisfactory, favourable, desirable, encouraging"
"泳ぐ","およぐ","to swim; to struggle through (a crowd); to make one's way through the world, to get along (in life); to totter, to lose one's balance"
"降りる","おりる","to descend (e.g. a mountain), to go down, to come down; to alight (e.g. from bus), to get off, to disembark, to dismount; to step down, to retire, to give up, to quit, to fold; to be granted, to be issued, to be given; to form (of frost, dew, mist, etc.); to be passed (from the body; e.g. of a roundworm)"
"終わる","おわる","to end, to come to an end, to finish, to close, to be over; to finish, to complete, to conclude; to finish doing; to be past its (one's) prime; to be awful, to be terrible, to suck, to be hopeless"
"音楽","おんがく","music"
"女","おんな","woman, female; female lover, girlfriend, mistress, (someone's) woman"
"女の子","おんなのこ","girl, daughter, baby girl; young woman"
"会社","かいしゃ","company, corporation, firm; one's workplace"
"階段","かいだん","stairs, stairway, staircase"
"買い物","かいもの, かいもん","shopping, purchased goods"
"買う","かう","to buy, to purchase; to value (highly), to think highly of, to have a high opinion of, to appreciate, to recognize; to incur (someone's anger, displeasure, etc.), to elicit (e.g. sneers), to invite (e.g. scorn), to evoke, to arouse, to win (someone's favour); to accept, to take on, to take up; to pay for (a prostitute, geisha, etc.)"
"返す","かえす","to return (something), to restore, to put back; to turn over, to turn upside down, to overturn; to pay back, to retaliate, to reciprocate; to respond (with), to retort, to reply, to say back; to do ... back (e.g. speak back, throw back); to do again, to do repeatedly"
"帰る","かえる","to return, to come home, to go home, to go back; to leave (of a guest, customer, etc.); to get home, to get to home plate"
"掛かる","かかる","to take (a resource, e.g. time or money); to hang; to come into view, to arrive; to come under (a contract, a tax); to start (engines, motors); to attend, to deal with, to handle; to have started to, to be on the verge of; to overlap (e.g. information in a manual), to cover; to (come) at; to be fastened; to be covered (e.g. with dust, a table-cloth, etc.); to be caught in; to get a call; to depend on; to begin (a task), to set about (doing), to get down to"
"鍵","かぎ, カギ","key; lock; key (to a problem, success, etc.), clue"
"書く","かく","to write, to compose, to pen; to draw, to paint"
"掛ける","かける","to hang up (e.g. a coat, a picture on the wall), to let hang, to suspend (from), to hoist (e.g. sail), to raise (e.g. flag); to put on (e.g. a blanket), to put on top of, to cover, to lay, to spread; to put on (glasses, etc.), to wear (a necklace, etc.); to make (a call); to spend (time, money), to expend, to use; to pour (liquid) onto, to sprinkle (powder or spices) onto, to splash, to throw (e.g. water) onto; to turn on (an engine, radio, etc.), to set (a dial, alarm clock, etc.), to put on (a DVD, song, etc.), to use (a device, implement, etc.); to cause (someone inconvenience, trouble, etc.), to burden (someone), to impose; to multiply (arithmetic operation); to secure (e.g. lock); to take a seat, to sit, to rest (something on something else), to support (something on something else); to bind; to wager, to bet, to risk, to stake, to gamble; to put an effect (spell, anaesthetic, etc.) on; to hold (a play, festival, etc.); to hold an emotion for (pity, hope, etc.); to argue (in court), to deliberate (in a meeting), to present (e.g. idea to a conference, etc.); to increase further; to catch (in a trap, etc.); to set atop; to erect (a makeshift building); to apply (insurance); to pun (on a word), to use (a word) as a pivot word, to play on words; to be partway doing ..., to begin (but not complete) ..., to be about to ...; to address (someone), to direct (something, to someone), to do (something, to someone)"
"傘","かさ","umbrella, parasol; something shaped like an umbrella or a conical hat, shade (of a lamp), mushroom cap, pileus"
"貸す","かす","to lend, to loan; to rent out, to hire out; to hand (over), to give"
"風邪","かぜ, ふうじゃ","(common) cold, influenza, flu, ague, inflammatory respiratory system illness (in general)"
"風","かぜ","wind, breeze, draught, draft; manner, behaviour, behavior; cold, influenza"
"家族","かぞく","family"
"方","かた","direction, way; person, lady, gentleman; method of, manner of, way of; care of ...; person in charge of ...; side (e.g. ""on my mother's side"")"
"","カップ","cup (drinking vessel, measure, brassiere, prize, etc.)"
"家庭","かてい","home, household, family, hearth"
"角","かど","corner, edge; (street) corner, turning; rough edges (of one's character, words, etc.), abrasiveness, harshness, sharpness"
"鞄","かばん, カバン","bag, satchel, briefcase, basket"
"花瓶","かびん, はながめ, かへい","(flower) vase"
"紙","かみ","paper"
"","カメラ, キャメラ","camera"
"火曜日","かようび","Tuesday"
"辛い","からい","spicy, hot; salty; harsh (criticism), severe (punishment), strict; painful, bitter, difficult, tough"
"体","からだ","body; torso, trunk; build, physique, frame, figure; health, constitution"
"借りる","かりる","to borrow; to rent, to hire; to make use of (another's help, wisdom, etc.), to obtain, to receive; to use (for another purpose), to put to a different use"
"軽い","かるい, かろい","light (i.e. not heavy), feeling light (i.e. offering little resistance, moving easily); light (i.e. of foot), effortless, nimble, agile; non-serious, minor, unimportant, trivial; slight, small, gentle, soft, easy, lighthearted (e.g. joke); easy, simple; indiscriminate"
"","カレンダー, カレンダ","calendar; calender (machine for flattening things)"
"咖哩","カレー, カリー","curry (esp. Japanese curry); rice and curry"
"川","かわ, がわ","river, stream; River, the ... river"
"可愛い","かわいい, カワイイ, カワイい, かわいーい, かわーい, かわえー","cute, adorable, charming, lovely, pretty; dear, precious, darling, pet; innocent, childlike, childish, lovable; dainty, little, tiny"
"漢字","かんじ","kanji, Chinese character"
"外国","がいこく, そとぐに","foreign country"
"外国人","がいこくじん","foreigner, foreign citizen, foreign national, alien, non-Japanese"
"学生","がくせい","student (esp. a university student)"
"学校","がっこう","school"
"木","き","tree, shrub, bush; wood, timber; wooden clappers (signalling the beginning or end of a performance)"
"黄色","きいろ, こうしょく, おうしょく","yellow, amber"
"黄色い","きいろい","yellow; high-pitched (voice), shrill"
"消える","きえる","to disappear, to vanish, to go out of sight, to go away, to become lost; to go out (of a fire, light, etc.), to die, to turn off (e.g. of a TV screen); to fade (of a feeling, impression, etc.), to vanish (e.g. of hope); to go away (e.g. of a smell, itchiness, sleepiness), to disappear, to fade away (e.g. of footsteps); to wear away (e.g. of an inscription), to rub out (of writing), to fade (e.g. of ink); to be lost (e.g. of a tradition), to die out, to disappear"
"聞く","きく","to hear; to listen (e.g. to music); to ask, to enquire, to query; to hear about, to hear of, to learn of; to follow (advice, order, etc.), to obey, to listen to, to comply with; to hear (e.g. a plea), to grant (a request), to accept (e.g. an argument), to give consideration to; to smell (esp. incense), to sample (a fragrance); to taste (alcohol), to try"
"北","きた","north; the North, northern territories; North Korea; north wind"
"汚い","きたない","dirty, filthy, foul, unclean; disordered, messy, untidy, poor (e.g. handwriting); indecent (language, etc.), dirty, vulgar, coarse; dastardly, mean, base, underhanded; stingy, greedy"
"喫茶店","きっさてん, きっちゃてん","coffee shop, tearoom, coffee lounge, coffeehouse, cafe"
"切手","きって","stamp (postage); merchandise certificate"
"切符","きっぷ","ticket"
"昨日","きのう, さくじつ","yesterday"
"九","きゅう, く, ここの, この, ここ","nine, 9"
"今日","きょう, こんにち, こんち, こんじつ","today, this day; these days, recently, nowadays"
"教室","きょうしつ","classroom, lecture room; department (in a university); class, lessons, course; school (for a particular discipline), teaching establishment"
"兄弟","きょうだい, けいてい","siblings, brothers and sisters; brothers; siblings-in-law, brothers-in-law, sisters-in-law; mate, friend"
"去年","きょねん, こぞ","last year"
"嫌い","きらい","disliked, hated, disagreeable; tendency, smack (of), touch (of); distinction, discrimination"
"着る","きる","to wear (from the shoulders down), to put on; to take (the blame, responsibility), to bear"
"切る","きる","to cut, to cut through, to perform (surgery); to sever (connections, ties); to turn off (e.g. the light); to terminate (e.g. a conversation), to hang up (the phone), to disconnect; to punch (a ticket), to tear off (a stub); to open (something sealed); to start; to set (a limit), to do (something) in less or within a certain time, to issue (cheques, vouchers, etc.); to reduce, to decrease, to discount; to shake off (water, etc.), to let drip-dry, to let drain; to cross, to traverse; to criticize sharply; to act decisively, to do (something noticeable), to go first, to make (certain facial expressions, in kabuki); to turn (vehicle, steering wheel, etc.); to curl (a ball), to bend, to cut; to shuffle (cards); to discard a tile; to dismiss, to sack, to let go, to expel, to excommunicate; to dig (a groove), to cut (a stencil, on a mimeograph); to trump; to cut (the connection between two groups); to start a fire (with wood-wood friction or by striking a metal against stone); to draw (a shape) in the air (with a sword, etc.); to do completely, to finish doing; to be completely ..., to be totally ..., to be terribly ...; to do clearly, to do decisively, to do firmly"
"綺麗","きれい, キレイ, きれーい","pretty, lovely, beautiful, fair; clean, clear, pure, tidy, neat; completely, entirely"
"","キロ","kilo-, 1000; kilogram, kilogramme; kilometre, kilometer; kilo-, 1024, 2^10"
"金曜日","きんようび","Friday"
"","ギター","guitar"
"牛肉","ぎゅうにく","beef"
"牛乳","ぎゅうにゅう","(cow's) milk"
"銀行","ぎんこう","bank, banking institution"
"薬","くすり, クスリ","medicine, pharmaceuticals, (legal) drugs, pill, ointment, salve; efficacious chemical (gunpowder, pesticide, etc.); (pottery) glaze; (illegal) drug, narcotic; small bribe"
"下さい","ください","please (give me); please (do for me)"
"果物","くだもの, かぶつ","fruit"
"口","くち","mouth; opening, hole, gap, orifice; mouth (of a bottle), spout, nozzle, mouthpiece; gate, door, entrance, exit; speaking, speech, talk (i.e. gossip); taste, palate; mouth (to feed); opening (i.e. vacancy), available position; invitation, summons; kind, sort, type; opening (i.e. beginning); counter for mouthfuls, shares (of money), stove burners, and swords"
"靴","くつ","shoe, shoes, boots, footwear, footgear"
"靴下","くつした","socks, sock, stockings, stocking"
"国","くに","country, state; region; national government, central government; home (i.e. hometown, home country); province (of Japan); land, earth"
"曇り","くもり","cloudiness, cloudy weather; fog (on a mirror, glasses, etc.), cloud (e.g. in marble), blur, mist, shadow, dimness; gloom, dejection"
"曇る","くもる","to get cloudy, to cloud over, to become overcast; to cloud up, to fog up, to mist up, to become dim; to be gloomy, to be clouded (expression), to be downcast; to look slightly downward (of a noh mask; indicating sadness, grief, etc.)"
"暗い","くらい","dark, gloomy, murky; depressed, dispirited, down in the dumps, dark (mood); dark (in colour), dull; ill-boding, dark (e.g. past), suspicious; unlikely (to succeed), hopeless, unpromising; unfamiliar (with), ignorant (of)"
"","クラス","class"
"来る","くる, クる","to come (spatially or temporally), to approach, to arrive; to come back, to do ... and come back; to come to be, to become, to get, to grow, to continue; to come from, to be caused by, to derive from; to come to (e.g. ""when it comes to spinach ..."")"
"車","くるま, クルマ","car, automobile, vehicle; wheel, castor, caster"
"黒","くろ","black; black stone; guilt, guilty person"
"黒い","くろい","black; dark, blackish, sun-tanned (skin); suspicious, criminal, illicit; darkened and dirty, sooty, covered in dirt; evil, wicked, black-hearted; inauspicious, ill-boding, unlucky"
"瓦","グラム","gram, gramme"
"警官","けいかん","police officer, policeman, constable"
"今朝","けさ, こんちょう","this morning"
"消す","けす","to erase, to rub out, to rub off, to cross out, to delete; to turn off (a light, TV, heater, etc.), to switch off; to extinguish (a fire, candle, etc.), to put out; to remove (a smell, pain, etc.), to eliminate, to get rid of, to relieve (pain, anxiety, etc.), to neutralize (poison); to drown out (a sound), to deaden, to absorb, to muffle; to kill, to murder, to bump off, to rub out"
"結構","けっこう","splendid, nice, wonderful, delightful, lovely, excellent, fine; sufficient, satisfactory, enough, fine, all right, OK; not needing (any more of something), (already) having enough, fine (as in ""I'm fine""), no, thank you; rather, quite, fairly, pretty, surprisingly, quite a bit, fairly well; structure, construction, framework, architecture"
"結婚","けっこん","marriage"
"月曜日","げつようび","Monday"
"玄関","げんかん","entrance, front door, entryway, entranceway, entry hall, vestibule, porch, foyer, mud room"
"元気","げんき","lively, full of spirit, energetic, vigorous, vital, spirited; healthy, well, fit, in good health"
"公園","こうえん","(public) park"
"交差点","こうさてん","crossing, intersection"
"紅茶","こうちゃ","black tea"
"交番","こうばん","police box, koban, small neighborhood police station; alternation; alternating (current, stress, etc.)"
"声","こえ","voice; singing (of a bird), chirping (of an insect), hoot; voice, opinion (as expressed in words), view, wish, attitude, will; sound; sense (of something's arrival), feeling; voice, voiced sound"
"此処","ここ","here, this place; this point, here, now; these past ... (e.g. three years), these last ...; the next ... (e.g. few days), these next ..."
"９日","ここのか, ここぬか","9th day of the month; nine days"
"九つ","ここのつ","nine; nine years of age; twelve o'clock (old time system)"
"答える","こたえる","to answer, to reply"
"此方","こちら, こっち, こち","this way, this direction; here; this (one); I, me, we, us; this person"
"洋杯","コップ, コツフ","glass (drinking vessel), tumbler; cups (suit)"
"今年","ことし, こんねん","this year"
"言葉","ことば, けとば","language, dialect; word, phrase, expression, term; speech, (manner of) speaking, (use of) language; words, remark, statement, comment; learning to speak, language acquisition"
"子供","こども","child, children"
"此の","この, こん","this; last (couple of years, etc.), these, past, this; you (as in ""you liar"")"
"","コピー","copy, photocopy; book jacket blurb; (advertising) slogan"
"困る","こまる","to be troubled, to have difficulty, to be in a fix, to be at a loss, to be stumped, to be embarrassed; to be bothered, to be inconvenienced, to be annoyed; to be badly off, to be hard up, to be in straitened circumstances"
"此れ","これ","this, this one; this person; now, this point (in time); here; used to stress the subject of a sentence; I, me"
"今月","こんげつ","this month"
"今週","こんしゅう","this week"
"","こんな","this sort of, this kind of, like this, such"
"今晩","こんばん","tonight, this evening"
"","コート","coat; coating"
"珈琲","コーヒー","coffee"
"五","ご, いつ, い","five, 5"
"午後","ごご","afternoon, p.m."
"午前","ごぜん","morning, a.m."
"ご飯","ごはん","cooked rice; meal"
