"会う(あう)","พบ, เจอ"
"でも","แต่, แม้แต่"
"出る(でる)","ออก, ออกมา"
"電気(でんき)","ไฟฟ้า, แสงไฟ"
"電車(でんしゃ)","รถไฟ"
"電話(でんわ)","โทรศัพท์"
"戸(と)","ประตู (แบบญี่ปุ่น)"
"トイレ","ห้องน้ำ"
"遠い(とおい)","ไกล"
"１０日(とおか)","วันที่ 10, สิบวัน"
"時々(ときどき)","บางครั้ง"
"時計(とけい)","นาฬิกา"
"所(ところ)","สถานที่"
"年(とし)","ปี, อายุ"
"図書館(としょかん)","ห้องสมุด"
"迚も(とても)","มาก"
"隣(となり)","ข้างๆ, บ้านข้างๆ"
"飛ぶ(とぶ)","บิน, กระโดด"
"止まる(とまる)","หยุด"
"友達(ともだち)","เพื่อน"
"鳥(とり)","นก"
"鶏肉(とりにく)","เนื้อไก่"
"取る(とる)","หยิบ, เอา"
"撮る(とる)","ถ่ายภาพ"
"ドア","ประตู"
"如何(どう)","อย่างไร, ยังไง"
"如何して(どうして)","ทำไม, อย่างไร"
"どうぞ","กรุณา, เชิญ"
"動物(どうぶつ)","สัตว์"
"どうも","ขอบคุณ, ยังไงก็"
"何処(どこ)","ที่ไหน"
"何方(どちら)","ทางไหน, อันไหน"
"何方(どなた)","ใคร (สุภาพ)"
"何の(どの)","อันไหน, ตัวไหน"
"土曜日(どようび)","วันเสาร์"
"何れ(どれ)","อันไหน (หลายตัว)"
"ナイフ","มีด"
"中(なか)","ข้างใน, ระหว่าง"
"長い(ながい)","ยาว, นาน"
"鳴く(なく)","ร้อง (เสียงสัตว์)"
"無くす(なくす)","ทำหาย"
"何故(なぜ)","ทำไม"
"夏(なつ)","ฤดูร้อน"
"夏休み(なつやすみ)","วันหยุดฤดูร้อน"
"等(など)","เป็นต้น, ฯลฯ"
"七つ(ななつ)","เจ็ด"
"７日(なのか)","วันที่ 7, เจ็ดวัน"
"名前(なまえ)","ชื่อ"
"習う(ならう)","เรียน (จากครู)"
"並ぶ(ならぶ)","เข้าแถว"
"並べる(ならべる)","จัดเรียง, วางเรียง"
"成る(なる)","กลายเป็น"
"何(なん)","อะไร, เท่าไหร่"
"二(に)","สอง, 2"
"賑やか(にぎやか)","คึกคัก, สนุกสนาน"
"肉(にく)","เนื้อ"
"西(にし)","ทิศตะวันตก"
"日曜日(にちようび)","วันอาทิตย์"
"荷物(にもつ)","สัมภาระ"
"ニュース","ข่าว"
"庭(にわ)","สวน, ลาน"
"脱ぐ(ぬぐ)","ถอด (เสื้อผ้า)"
"温い(ぬるい)","อุ่นๆ, ไม่ร้อนไม่เย็น"
"ネクタイ","เนกไท"
"猫(ねこ)","แมว"
"寝る(ねる)","นอน"
"上る(のぼる)","ขึ้น, ปีน"
"飲み物(のみもの)","เครื่องดื่ม"
"飲む(のむ)","ดื่ม, กิน (ยา)"
"乗る(のる)","ขึ้น (รถ/เรือ/เครื่องบิน)"
"ノート","สมุดจด"
"歯(は)","ฟัน"
"はい","ใช่, มีครับ/ค่ะ"
"灰皿(はいざら)","ที่เขี่ยบุหรี่"
"入る(はいる)","เข้า"
"葉書(はがき)","ไปรษณียบัตร"
"履く(はく)","สวม (รองเท้า, กางเกง)"
"箱(はこ)","กล่อง"
"箸(はし)","ตะเกียบ"
"橋(はし)","สะพาน"
"走る(はしる)","วิ่ง"
"始まる(はじまる)","เริ่ม (เอง)"
"始め(はじめ)","การเริ่มต้น"
"初めて(はじめて)","เป็นครั้งแรก"
"２０歳(はたち)","อายุ 20 ปี"
"働く(はたらく)","ทำงาน"
"八(はち)","แปด, 8"
"２０日(はつか)","วันที่ 20, ยี่สิบวัน"
"花(はな)","ดอกไม้"
"鼻(はな)","จมูก"
"話(はなし)","การสนทนา, เรื่องราว"
"話す(はなす)","พูด, บอก"
"早い(はやい)","เร็ว, เช้า"
"春(はる)","ฤดูใบไม้ผลิ"
"張る(はる)","ติด, แปะ, ขึง"
"晴れ(はれ)","ท้องฟ้าแจ่มใส"
"晴れる(はれる)","ท้องฟ้าใส"
"半(はん)","ครึ่ง"
"ハンカチ","ผ้าเช็ดมือ"
"半分(はんぶん)","ครึ่งหนึ่ง"
"バス","รถบัส"
"バター","เนย"
"晩(ばん)","เย็น, กลางคืน"
"番号(ばんごう)","หมายเลข"
"晩御飯(ばんごはん)","อาหารเย็น"
"パン","ขนมปัง"
"パーティー","งานเลี้ยง, ปาร์ตี้"
"東(ひがし)","ทิศตะวันออก"
"引く(ひく)","ดึง, ค้นหา (พจนานุกรม)"
"低い(ひくい)","เตี้ย, ต่ำ"
"弾く(ひく)","เล่น (เปียโน/กีตาร์)"
"飛行機(ひこうき)","เครื่องบิน"
"左(ひだり)","ซ้าย"
"人(ひと)","คน"
"一つ(ひとつ)","หนึ่ง, อย่างเดียว"
"一月(ひとつき)","หนึ่งเดือน"
"一人(ひとり)","คนเดียว"
"暇(ひま)","ว่าง, มีเวลาว่าง"
"百(ひゃく)","ร้อย, 100"
"昼(ひる)","เที่ยงวัน, กลางวัน"
"昼ご飯(ひるごはん)","อาหารกลางวัน"
"広い(ひろい)","กว้าง"
"病院(びょういん)","โรงพยาบาล"
"病気(びょうき)","โรค, เจ็บป่วย"
"フィルム","ฟิล์ม"
"封筒(ふうとう)","ซอง (จดหมาย)"
"フォーク","ส้อม"
"吹く(ふく)","เป่า, พัด (ลม)"
"服(ふく)","เสื้อผ้า"
"二つ(ふたつ)","สอง"
"二人(ふたり)","สองคน"
"２日(ふつか)","วันที่ 2, สองวัน"
"太い(ふとい)","อ้วน, หนา"
"冬(ふゆ)","ฤดูหนาว"
"降る(ふる)","ตก (ฝน/หิมะ)"
"古い(ふるい)","เก่า"
"風呂(ふろ)","อ่างอาบน้ำ"
"豚肉(ぶたにく)","เนื้อหมู"
"文章(ぶんしょう)","ประโยค, บทความ"
"プール","สระว่ายน้ำ"
"下手(へた)","ไม่เก่ง, งุ่มง่าม"
"部屋(へや)","ห้อง"
"辺(へん)","แถว, บริเวณ"
"ベッド","เตียง"
"勉強(べんきょう)","การเรียน"
"便利(べんり)","สะดวก, มีประโยชน์"
"ペット","สัตว์เลี้ยง"
"ペン","ปากกา"
"ページ","หน้า (หนังสือ)"
"他(ほか)","อื่นๆ, ที่อื่น"
"欲しい(ほしい)","อยากได้"
"細い(ほそい)","เล็ก, ผอม, บาง"
"ホテル","โรงแรม"
"本(ほん)","หนังสือ"
"本棚(ほんだな)","ชั้นวางหนังสือ"
"本当(ほんとう)","จริงๆ, ความจริง"
"帽子(ぼうし)","หมวก"
"ボタン","กระดุม"
"ボールペン","ปากกาลูกลื่น"
"ポケット","กระเป๋า (บนเสื้อ)"
"ポスト","ตู้ไปรษณีย์"
"毎朝(まいあさ)","ทุกเช้า"
"毎週(まいしゅう)","ทุกสัปดาห์"
"毎月(まいつき)","ทุกเดือน"
"毎年(まいとし)","ทุกปี"
"毎日(まいにち)","ทุกวัน"
"毎晩(まいばん)","ทุกคืน"
"前(まえ)","ข้างหน้า, ก่อนหน้า"
"曲がる(まがる)","เลี้ยว, โค้ง"
"不味い(まずい)","ไม่อร่อย, แย่"
"股(また)","ขาหนีบ, สาแหรก"
"未だ(まだ)","ยังไม่, ยังคง"
"町(まち)","เมือง, ย่าน"
"真っ直ぐ(まっすぐ)","ตรงๆ"
"マッチ","ไม้ขีดไฟ"
"待つ(まつ)","รอ, คอย"
"窓(まど)","หน้าต่าง"
"丸い(まるい)","กลม"
"万(まん)","หมื่น, 10,000"
"万年筆(まんねんひつ)","ปากกาหมึกซึม"
"磨く(みがく)","ขัด, แปรงฟัน"
"右(みぎ)","ขวา"
"短い(みじかい)","สั้น"
"水(みず)","น้ำ"
"店(みせ)","ร้านค้า"
"見せる(みせる)","แสดง, โชว์"
"道(みち)","ถนน, เส้นทาง"
"３日(みっか)","วันที่ 3, สามวัน"
"三つ(みっつ)","สาม"
"緑(みどり)","สีเขียว"
"皆(みな)","ทุกคน, ทั้งหมด"
"皆さん(みなさん)","ทุกท่าน"
"南(みなみ)","ทิศใต้"
"耳(みみ)","หู"
"見る(みる)","ดู, มอง"
"６日(むいか)","วันที่ 6, หกวัน"
"向こう(むこう)","ฝั่งตรงข้าม, โน้น"
"難しい(むずかしい)","ยาก"
"六つ(むっつ)","หก"
"村(むら)","หมู่บ้าน"
"目(め)","ตา"
"メガネ","แว่นตา"
"メートル","เมตร"
"毛(もう)","หน่วยวัด (หนึ่งในพัน)"
"もう一度(もういちど)","อีกครั้ง"
"木曜日(もくようび)","วันพฤหัสบดี"
"もっと","มากกว่านี้"
"持つ(もつ)","ถือ, มี"
"物(もの)","ของ, สิ่งของ"
"門(もん)","ประตูรั้ว"
"問題(もんだい)","ปัญหา, คำถาม"
"八百屋(やおや)","ร้านขายผักผลไม้"
"野菜(やさい)","ผัก"
"易しい(やさしい)","ง่าย"
"安い(やすい)","ถูก, ราคาถูก"
"休み(やすみ)","วันหยุด, การพัก"
"休む(やすむ)","พัก, หยุด"
"八つ(やっつ)","แปด"
"山(やま)","ภูเขา"
"遣る(やる)","ทำ, ให้ (แก่คนอื่น)"
"夕方(ゆうがた)","เย็น (ประมาณบ่าย 3-6)"
"夕飯(ゆうはん)","อาหารเย็น"
"郵便局(ゆうびんきょく)","ที่ทำการไปรษณีย์"
"昨夜(ゆうべ)","คืนวาน"
"有名(ゆうめい)","มีชื่อเสียง"
"雪(ゆき)","หิมะ"
"ゆっくり","ช้าๆ, สบายๆ"
"８日(ようか)","วันที่ 8, แปดวัน"
"洋服(ようふく)","เสื้อผ้าแบบตะวันตก"
"良く(よく)","บ่อยๆ, ดีๆ"
"横(よこ)","ด้านข้าง, แนวนอน"
"４日(よっか)","วันที่ 4, สี่วัน"
"四つ(よっつ)","สี่"
"呼ぶ(よぶ)","เรียก"
"読む(よむ)","อ่าน"
"夜(よる)","กลางคืน"
"弱い(よわい)","อ่อน, อ่อนแอ"
"来月(らいげつ)","เดือนหน้า"
"来週(らいしゅう)","สัปดาห์หน้า"
"来年(らいねん)","ปีหน้า"
"ラジオ","วิทยุ"
"ラジカセ","วิทยุเทป"
"立派(りっぱ)","ยอดเยี่ยม, น่าประทับใจ"
"留学生(りゅうがくせい)","นักศึกษาต่างชาติ"
"両親(りょうしん)","พ่อแม่"
"料理(りょうり)","การทำอาหาร, อาหาร"
"旅行(りょこう)","การท่องเที่ยว"
"零(れい)","ศูนย์"
"冷蔵庫(れいぞうこ)","ตู้เย็น"
"レコード","แผ่นเสียง, สถิติ"
"レストラン","ร้านอาหาร"
"練習(れんしゅう)","การฝึกซ้อม"
"廊下(ろうか)","ทางเดินในอาคาร"
"六(ろく)","หก, 6"
"ワイシャツ","เสื้อเชิ้ต"
"若い(わかい)","อ่อน, หนุ่มสาว"
"分かる(わかる)","เข้าใจ"
"忘れる(わすれる)","ลืม"
"私(わたくし)","ฉัน (สุภาพ)"
"私(わたし)","ฉัน"
"渡す(わたす)","ส่งให้, ยื่นให้"
